Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email du Porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Image;Ressources Humaines;Juridique;Criticité;Maturité CI
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Piloter la performance;Risque de non fiabilité de l'information pour le pilotage;Pilotage des indicateurs ;;;;;;;;"Chaque département suit ses indicateurs à travers un tableau de bord. 
Elaboration du TdB DAL par PPA sur la base de ceux des départements. 
Lors des Co-DAL élargis mensuels chaque structure présente son TdB
Les PA issus des tableaux de bord sont pilotés 
Piste d'amélioration : Projet Smart : automatisation des tdb : indicateurs à temps réél
Utilisation partielle de Sprint s des Co-DAL élargis mensuels chaque structure présente son TdBLes PA issus des tableaux de bord sont pilotés";Détectif;Manuelle;1;1;1;1;1;1;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Piloter la performance;Risque de non fiabilité de l'information pour le pilotage;Pertinence et fiabilité des indicateurs ;;;;;;;;"'- Déclinaison en cascade des ODG au sein de la DAL
- Suivi des objectifs DG par APPS
- Vérification de la fiabilité des données du TdB par PPA sur la base des fichiers de calcul. 
- Publication du TdB à M+7";Préventif;Manuelle;1;1;1;1;1;1;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Piloter la performance;Risque de non fiabilité de l'information pour le pilotage;Incomplétude des indicateurs;;;;;;;;Déclinaison des ODG disponibles chaque mois;Préventif;Manuelle;1;1;1;1;1;1;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Piloter la performance;Risque de non fiabilité de l'information pour le pilotage;absence de suivi des plans d'action;;;;;;;;Suivi des plans d'actions dans les tableaux de bord mensuels et aux CoDAL mensuels;Préventif;Manuelle;1;1;1;1;1;1;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Evaluer les fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Non fiabilité de la notation ;;;;;;;;Evaluation des fournisseurs sur la base du QREDIC (Qualité, Réactivité-Relationnel, Ethique-Environnement-SST, Délai, Innovation, Coût et facturation) adapté selon le domaine en convertissant les engagements coontractuels en critères de notation;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Evaluer les fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Non fiabilité de la notation ;;;;;;;;Evaluation des fournisseurs sur la base du QREDIC (Qualité, Réactivité-Relationnel, Ethique-Environnement-SST, Délai, Innovation, Coût et facturation) adapté selon le domaine en convertissant les engagements coontractuels en critères de notation;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Evaluer les fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Notation tardive;;;;;;;;"Évaluation annuelle (ODG: évaluation annuelle des fournisseurs stratégiques et ceux qui font avec SA et SM un chiffre d'affaires de plus de 500millions) et semestrielle (périmètre COPC et les assureurs) par les prescripteurs, les utilisateurs et les acheteurs. Évaluation suite prestation des  fournisseurs avec lesquels les échanges sont très peu fréquents PPA procède à la synthèse de l'ensemble des contributions par fournisseur et boucle uniquement à la fin de l'année
Initiation du besoin d'évaluer par le demandeur  
POG017

Escalade aux hiérarchies en cas de retard de réaction tardive des structures concernées";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Evaluer les fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Notation tardive;;;;;;;;"Evaluation annuelle et semestrielle (périmètre COPC et les assureurs) par les prescripteurs, les utilisateurs et les acheteurs. Evaluation suite prestation des  fournisseurs avec lesquels les échanges sont très peu fréquents PPA procéde à la synthèse de l'ensemble des contributions par fournisseur et boucle uniquement à la fin de l'année
Initiation du besoin d'évaluer par le demandeur  
POG017";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Evaluer les fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Attribution de notes non fidèles aux prestations des fournisseurs;;;;;;;;"Challenge des structures qui notent par PPA en cas d'incohérence 
Notation en ligne  par les structures concernées.
Validation par les chefs de département des structures concernées";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Non Identification et suivi PERFECTIBLE des fournisseurs stratégiques;;;;;;;;"Qualification des fournisseurs par corps de métier et par chiffre d'affaires
Mise à jour de la base fournisseur lors des évaluations";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Non Intégrité de la base de données fournisseurs;;;;;;;;"Base centralisée au niveau PPA seul habilité à créer ou désactiver un fournisseur Revue annuelle de la base fournisseurs : désactivation en masse des fournisseurs inactifs (restés plus de 18 mois sans commande, factures ni paiements).Projet AGED pour assurer l'archivage électronique des contrats en vie
Base contrat gérée par les Acheteurs";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Comportement des fournisseurs non conforme avec les principes de déontologie du Groupe;;;;;;;;- Appréciation Ethique durant l'évaluation (retard de paiement de leurs salariés …) des fournisseurs;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Gestion du cycle de vie des fournisseurs;;;;;;;;Base de suivi des contrats par domaine alimenté par les acheteurs. Fiabilisation annuelle de la base pour faire sortir les fourniseurs qui n'ont pas fait de transaction depuis plus de 18 mois;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;Création ou suppression de fournisseurs non autorisés dans la base;;;;;;;;"création des fournisseurs référencés uniquement sur demande de APPS/CDE ou d'un acheteur quand un nouveau contrat est signé et contrôle par le chef de service Pièces nécessaires pour création d'un fournisseur dans la base: NINEA, contrat, facture, lettre d'autorisation de DAL ou DG, ou PVA
impossibilité de dupliquer un NINEA
traçabilité des opérations
Contrôle par PPA";Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;base des fournisseurs non mise à jour;;;;;;;;Suppression des fournisseurs inactivitfs depuis 18mois. Assainissement annuel de la base par PPA;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de mauvaise gestion du portefeuille de fournisseurs;base non mise à jour;;;;;;;;Suppression des fournisseurs inactivitfs depuis 18mois. Assainissement annuel de la base par PPA;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer la base fournisseurs;Risque de fraude;Fournisseurs fictifs;;;;;;;;"Séparation des tâches : 
le Service qui commande est différent du Service qui réceptionne et le Service qui créé le fournisseur est en dehors du processus'- Limitation de l'accès à la base fournisseurs au chef du service PPA - 
 - Fiabilisation annuelle de la base pour faire sortir les fournisseurs qui n'ont pas fait de transaction depuis plus de 18 mois 
'- Achats initiés sur la base de demandes d’achat par les acheteurs
Traçabilité dans le SI des connexions et actions
Validation des BC par le service commande puis validation par APPS et DAL";Préventif;Manuelle;1;1;1;;;;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Piloter la réforme des véhicules;Risque de fraude;Liste des véhicules à réformer indisponble ou inexhaustive;;;;;;;;"Remontée de la liste des véhicules à réformer par le garage (deux conditions de réforme: valeur vennale et état physique) validée par le DAL/IMMOTR puis par DAL et DG
Vérification du prix de vente par APPS qui doit être supérieure ou égale à la valeur vennale
Publication d'une liste des bénéficiaires après vente";Préventif;Manuelle;1;1;1;;;;;1;3
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les réclamations fournisseurs;Risque de mauvais  traitement  des  réclamations Clients/Fournisseurs;Lenteurs dans la prise en charge des remontées;;;;;;;;"Revue hebdo des réclamations non soldées avec le Chef de Département APP pour relances et escalades. Rapport bimestriel sur les réclamations fournisseurs présenté au CODIR Délai de traitement des réclamations fournisseur de 15jours et 30 jours pour les cas complexes
Actions proactives pour éviter les réclamations: Identification et classement des fournisseurs en groupes pour personnaliser le traitement - Suivi particulier :
 - des bons de commande des fournisseurs sensibles dont les réclamations ternissent l'image
 - des fournisseurs ayant posté plus de 3 réclamations dans l'année
Alerte à DRPS sur le taux de consommation des commandes planifiées
Envoi tous les 15jours d'un push aux fournisseurs pour qu'ils remontent toutes les prestations sans commande et les factures arrivées à échéance non payées";Détectif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les réclamations fournisseurs;Risque de mauvais  traitement  des  réclamations Clients/Fournisseurs;Erreur d'imputation des réclamations aux structures ;;;;;;;;Partage du fichier de dispatching en brieffing, avec les directions concernées et en CODAL;Préventif;Manuelle;2;2;1;2;2;1;2;3;2
Piloter les Achats et la logistique ;Administrer et Piloter la Performance des achats;Administrer et Piloter la Performance des achats;SNT DAL \ APPS;Gérer les réclamations fournisseurs;Risque de mauvais  traitement  des  réclamations Clients/Fournisseurs;Mauvaise communication à l'endroit du fournisseur;Mettre en place un plan de formation des agents chargés de la gestion des réclamations sur ACTE RELATIONNEL en 2014;MARIE DIA CISSE;MarieDia.Cisse@orange-sonatel.com;;31/12/2016;;En cours;;;;2;2;1;2;2;1;2;3;2
