Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque d'inadéquation profil/poste;Manque de profils adaptés (polyvalents IT) sur le marché de l'emploi (ex: développeurs+intégration+big data);"Rédiger une fiche de poste cohérente avec les besoins du Il@b
Bencher sur le processus de recrutement de l'acceleration center";El Hadji Birahim Gueye;;;31/07/2018;;Non échu;;;;3;1;1;;1;;;;1
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque d'inadéquation profil/poste;Limite du budget RH;;;;;;;;Budget RH positionné suite à la mission de Cap Gemini;préventif;manuelle;2;1;1;;1;;;;2
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Validation tardive de la stratégie de l'innovation;Faire valider la stratégie de l'innovation par DG;El Hadji Birahim Gueye;;;30/06/2018;;Non échu;;;;2;1;1;;1;;;;2
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Mise à disposition tardive du budget et RH;Finaliser la mise en place du budget;El Hadji Birahim Gueye;;;15/06/2018;Réaménagement budgétaire ;en cours;;;;3;1;1;;1;;;;1
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque de choix technologiques inopportuns ;Choix d'une plateforme inadaptée aux besoins de développement de prototype;"Mettre à contribution le pôle Acceleration Center pour le choix d'une paas (plateforme as a service) dont les avantages entre autres sont le ""pay as you go""";El Hadji Birahim Gueye;;;30/09/2018;;Non échu;;;;1;1;1;;1;;;;3
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque de choix technologiques inopportuns ;Absence de prise en compte des besoins nécessaires au développement;Rédiger la procédure de conceptualisation;El Hadji Birahim Gueye;;;15/07/2018;;Non échu;;;;2;1;1;;1;;;;2
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Mettre en place la structure Il@b;Risque sur la santé des hommes (travailleurs, publics etc.);Choix d'un local inadapté à la créativité;Définir les critères du local adapté à l'innovation et les partager avec la DAL;El Hadji Birahim Gueye;;;30/06/2018;;Non échu;;;;2;1;1;;;;;;2
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Animer la culture d'innovation;Risque de formation inadaptée aux besoins et attentes des apprenants;Absence de catalogue de formation;"Définir un catalogue de formation axée sur l'innovation digitale devant permettre de traduire les idées de création des collaborateurs
Conduire des benchmarkings au sein du groupe pour identifier les plans de formation définis dans les différents centres d'innovation";El Hadji Birahim Gueye;;;30/06/2018;;Non échu;;;;3;1;1;1;1;;;;1
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Animer la culture d'innovation;Risque de partenariat inefficace;critères d'identification des partenaires (startup ou universités) biaisés;Rédiger la procédure de choix  des partenaires (critères de choix, instances de validation mode de contractualisation, etc);El Hadji Birahim Gueye;;;15/07/2018;;Non échu;;;;2;2;1;;3;;;;2
Etudier, Planifier, Construire, Exploiter et Maintenir les systèmes d’information;Gérer l'innovation digitale et soutenir la création  de la valeur IT;Gérer l'innovation digitale ;IL@b;Animer la culture d'innovation;Risque d'erreur de conception technique des projets;exploitation inefficiente des idées de recherche remontées par le personnel;Rédiger la procédure de conceptualisation;El Hadji Birahim Gueye;;;15/07/2018;;Non échu;;;;1;1;1;;1;;;;3
