Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Images;Ressources Humaines;Juridique;Criticité;Maturité CI
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Diffusion de données personnelles des clients;;;;;;;;"Sur OM, les CC ne voient plus les 5 dernières transactions
Diffusion de notes de service internes et externes
- Dispositif d'écoute pour suivre l'indicateur  ""taux d'erreur critiques de non conformité"" (communication d'infos sensibles aux clients ou à un tiers)
- Limitation de l'accès à la facturation détaillée à PCL et SAVR La remise du détail ou la visualisation au client se fait sur présentation de la pièce d'identité suite à une réclamation écrite + présence physique. 
- Seuls les BO (agents internes) et les positions déportées de PCCI chez les prestataires et les conseillers HV ont accès au détail. Détail disponible sur une durée déterminée 
- Pour les clients Prépayé, Téranga, distributeurs identifiés dans la base et pour lesquels le contrôle de conformité entre le numéro CNI communiqué et celui enregistré dans le SI est ok, la communication du code PUK se fait par le plateau";Préventif;Manuelle;2;3;2;4;4;1;4;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Accès non maîtrisé aux informations clients;Définir des accès nominatifs à Vollubill et aux positions déportées RI;ISMAILA NIANG;;;31/03/2017;;Soldé;;;;2;3;2;4;4;1;4;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Accès non maîtrisé aux informations clients;;;;;;;;"Possibilité de faire des requêtes sur les différentes applis en cas de besoin pour tracer les actions faites - Les prestataires informent SONATEL des démissions de ses agents pour suppression des accès
Chaque agent a son log et les logs sont tracés - Audit des accès par SSI - Verrous sur le portail: limitation des informations auxquelles les CC ont droit - Mise en place de postes virtuels pour les CC sur les plateaux internes - Les machine des CC du prestataire ne comportent pas de ports externes Existence d'une matrice des habilitations Personnalisation des comptes Suppression des comptes mensuellement Fiabilisation des comptes (fréquence?) suite état des comptes envoyé par DSI Création d'un service CSO (Sécurité des Opérations) chargé de contrôler la sécurisation des opérations	Accès non maîtrisé aux informations clients	
	        
Mise en place de postes virtuels pour les CC	Accès non maîtrisé aux informations clients	
    
- Des clauses de confidentialité figurent sur les contrats avec les prestataires. - Signature d'une charte utilisateur SI par les Superviseurs et les Conseillers clients et les autres agents du prestataire et des plateaux internes qui ont accès au SI de SONATEL		        
Les machine des CC du prestataire ne comportent pas de ports externes";Préventif;Manuelle;2;3;2;4;4;1;4;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Diffusion de données personnelles ;;;;;;;;"- Agents traitant back office en fonction de leur domaine ont accès  au détail - Note DG en 2011 sur la confidentialité des données clients et sur la responsabilité des agents
Pour les clients enregistrés dans Simplissimo, l'identité de la personne qui demande est contrôlée par rapport aux informations figurant dans le SI.
Pour les lignes Téranga, lorsque la demande et faite par téléphone, des questions sont posées au demandeur pour vérifier la conformité avec les informations saisies dans le SI et s'assurer qu'il s'agit du titulaire de la ligne";Préventif;Manuelle;2;3;2;4;4;1;4;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de dépendance vis-à-vis d'un fournisseur;Non maîtrise des activités du prestataire;;;;;;;;"Transformation du service client et certification COPC
Evaluaton QREDIC semestrielle des prestataires sur leur performance et la satisfaction de SA sur leurs prestations
Audit annuel des prestataires avec l'appui de ARQ";Préventif;Manuelle;2;2;1;2;;;;3;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de dépendance vis-à-vis d'un fournisseur;Fournisseur ou prestataire unique;;;;;;;;"Recrutement d'un troisième prestataire en cours
Réinternalisation des plateaux à haute valeur et du plateau 1413
Partage du prépayé entre les deux prestataires
Plateau HV Interne: VIP, Pro, Postpaid, les prépayés HV (Gold et Platinum)";Préventif;Manuelle;2;2;1;2;;;;3;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de non fiabilité de l'information pour le pilotage;Manque d'automatisation des outils de pilotage;;;;;;;;"- Suivi des PA et indicateurs, Météo hebdomadaire - Suivi des PA dans SUPER  - Automatisation des reportings d'accessibilité, d'écoute - Cadres de rencontre : réunions mensuelles, hebdo, trim avec participation de DSC et du Directeur du prestataire
- Baromètre clients par ARQ/DMI/EAQ - Etude des réitérations de réclamations - Nouveau indicateur : COPC : normes de gestion du service client";Préventif;Manuelle;2;2;1;2;3;;;4;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de non fiabilité de l'information pour le pilotage;Non fiabilité des données issues du reporting;;;;;;;;- Retraitement des données , analyses et tests de cohérence pour les fiabiliser.  - Collecte  des données via le CRM et CCpulse, Infomart et CC Analyzer sauf 1212  - Tous les plateaux sont dans le bandeau  sauf 1212 et le CRM pour les cas postés au BO   -Exploitation du module reporting du CRM pour automatiser le reporting et assurer l'exhaustivité des données - Revue mensuelle des tables F avec les fournisseurs pour vérifier la cohérence des indicateurs;Préventif;Manuelle;2;2;1;2;3;;;4;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de non fiabilité de l'information pour le pilotage;Non fiabilité des données du prépayé ;;;;;;;;"Intégration du prépayé dans OMEGA
Contrôle de conformité en interne
Protocole d'accord mis en place avec PCCI pour le contrôle de cohérence des données des différents sources d'infos";Préventif;Manuelle;2;2;1;2;3;;;4;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de manque de performance économique des offres/projets;prévisions non réajustées (communication tardive par le marketing des nouvelles offres, lancements, ATP, etc);;;;;;;;"Paiement d'heures supplémentaires aux conseillers
Envoi de push sms aux clients pour éviter qu'ils appellent";Préventif;Manuelle;2;1;1;;;;;2;2
