Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;" - Contrôle à posteriori : en cas de problèmes, les traces des différentes opérations non ""traçables"" peuvent être fournies par le fournisseur du progiciel
 - Audit des accès par AI
 - Vérification des tickets au delà d'un certain montant : 
 - Pour chaque flux de revenu, contrôle de vraisemblance en cas de variation significative
 - Fiabilisation périodique des accès par SSI
 - Super utilisateurs sont des Chefs de service Ingénierie";Détectif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;Prise en compte de la séparation des tâches lors de la création des profils sauf dans les Accueils éloignés où le RA peut vendre et encaisser;Préventif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de fraude;défaut de prise en charge d'une demande de traitement d'un dossier Nomad;;;;;;;;"Analyser l'écart sur le nombre de dossiers traités par le BO Nomad et le taux de rejet quotidien de dossiers client Nomad
Mise en place d'un process d'échantillonnage sur les dossiers traités par le BO Nomad pour vérifier a posteriori la conformité du traitement fait";Détectif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Mauvaise compréhension du besoin exprimé;;;;;;;; - Validation des travaux par le Chef de Service - Validation des réponses aux demandes de dégrèvement en masse par le Chef de Département DIS - Reporting interne et pilotage des demandes utilisateurs (CDS) - Service CDS vérifie et  livre au demandeur;Détectif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Mauvaise compréhension du besoin exprimé;;;;;;;;- Formation des Marketeurs sur le renseignement de l'EBM (remplir le formulaire) et sur le concept de paramétrage des offres - Revue de contrat : quand la formulation de la demande n'est pas claire, le support enregistre dans Easy Vista une tâche  de  demande de complément d'information au demandeur;Préventif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Mauvaise compréhension du besoin exprimé;;;;;;;;Utilisateur valide les travaux et remonte si non-conforme dans Easy vista;Détectif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Erreur de paramétrage;;;;;;;;"- Maquette de paramétrage offre SI fournie au MKT (maquette améliorée chaque année) avec un simulateur  - Copie d'écran après paramétrage et transmission au chef du service pour validation avant livraison - Existence d'un pôle validation livraison qui teste (simulations) le paramétrage avant livraison
 - Demande dans Easy vista acceptée ou rejetée par demandeur qui a un délai de 72 h. Au delà de 72 h demande automatiquement clôturée par le système";Préventif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Erreur de paramétrage;;;;;;;;Interdiction de saisir les tarifs;Préventif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Demande envoyée intuitu personae (quelqu'un en particulier);;;;;;;;- Toutes les demandes sont envoyées à DIS via le self service Easy Vista - L'adresse pour contacter le support DIS est communiquée à tous les utilisateurs, dans Intracom, elle est diffusée chaque année  - Existence d'une Hotline - Engagements de service  dans Sharepoint;Préventif;Manuelle;1;2;1;1;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Réception en retard des demandes de prestation SI;;;;;;;;""" - Communication des délais de traitement des demandes de travaux aux utilisateurs - Validation avec le Marketing (Ese et GP) d'une procédure """"Traitement d'une demande de paramétrage Offre dans les SI commerciaux"""" avec indication des délais diffusée  dans le sharepoint DIS
 - Mise en place de l'astreinte";Préventif;Manuelle;1;2;1;1;2;2;2;2;3
