Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Suivi du payplan;Risque de démotivation du personnel ;Objectifs inadaptés au potentiel du marché;;;;;;;;"Les objectifs sont fixés en fonction du CA réalisé des années n et du CA potentiel de l'année n+1 (offres dans le pipe et comportements du marché)

Coordination avec DM/AMA pour une meilleure estimation du potentiel du marché

Récactualisation des objectifs au début de chaque semestre";Préventif;Manuelle;2;1;1;1;1;;1;2;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Suivi du payplan;Risque de démotivation du personnel ;Rémunération non motivante;;;;;;;;sondage effectué auprès des commerciaux au S1 2018 qui est ressorti avec des taux de satisfaction de 80% et de compréhension de 100%;Préventif;Manuelle;1;1;1;1;1;;1;1;3
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Suivi du payplan;Risque de démotivation du personnel ;Reconnaissance insuffisante des vendeurs;;;;;;;;"sondage effectué auprès des commerciaux au S1 2018 qui est ressorti avec des taux de satisfaction de 80% et de compréhension de 100%

challenge mensuel par DVE sur le meilleur vendeur du mois";Préventif;Manuelle;2;1;1;1;1;;1;2;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Suivi du payplan;Risque de non fiabilité de l'information pour le pilotage;Indisponibilité du CRM (outil principal);;;;;;;;"Signature d'un contrat de service entre DSI et DDE en oct 18
tenue trimestrielle d'une revue business entre DDEet DSI
coordination hebdo avec la Elob et le support en Roumanie pour la prise en charge des dysfonctionnements
Menu de traitement des instances disponible dans le CRM pour le suivi";Préventif;Manuelle;1;1;1;2;1;;1;1;3
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Suivi du payplan;Risque de non fiabilité de l'information pour le pilotage;Non fiabilité du suivi et du pilotage des opérations commerciales (ex: outils inadaptés de suivi des performances des commerciaux);;;;;;;;"croisement entre les extractions des bases de données (CRM, gaïa, nessico)
les chiffres de gaïa et nessico (CA opé) sont fournis par DDE/DM
fichier de suivi manuel - projet d'automatisation de ce suivi";Préventif;Manuelle;2;1;1;2;1;;1;3;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Développement de l'utilisation du CRM;Risque de contenus non fonctionnels;régression lors de la migration au CRM360;;;;;;;;Choix de migrer que la partie Etat lors de la migration au CRM360 et d'attendre la deuxième phase présentant toutes les fonctionnalités pour migrer totalement ;Préventif;Manuelle;2;2;2;;1;;2;3;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Développement de l'utilisation du CRM;Risque de contenus non fonctionnels;Lenteur dans la prise en compte et la livraison des besoins sur le CRM par la Elob et à terme par la DSI;;;;;;;;"Les demandes envoyées à la Elob portent essentiellement sur des modifications de configuration.
coordination hebdo avec la Elob et le support en Roumanie pour la prise en charge des dysfonctionnements
Menu de traitement des instances disponible dans le CRM pour le suivi";Préventif;Manuelle;2;2;2;;1;;2;3;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Développement de l'utilisation du CRM;Risque de contenus non fonctionnels;absence d'adhésion des équipes (vendeurs, DRC, etc) au CRM;;;;;;;;"Collecte des besoins des différentes équipes par DDE/TEC/STCB en guise de roadmap 
Traitement des demandes au fil de l'eau avec le soutien de la Elob";Préventif;Manuelle;2;2;2;;1;;2;3;2
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Piloter la conformité COPC et l'amélioration du service client;Risque de non-conformité du systéme de management intégré (QSE, COPC);Abence de maîtrise des supports techniques sur le terrain et de l'exécution des contrats;;;;;;;;"présentation en codir d'un rapport mensuel sur les performances avec des GAQ à la clé
Sensibilisation et communication avec DRPS en continu";Préventif;Manuelle;4;2;1;;2;;2;7;1
Développer (les marchés, produits, services, la communication), vendre, facturer, recouvrer et gérer la relation avec les clients Entreprises et Etat ;"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";"Assurrer le pilottage de la performance du marché
Entreprise et Etat et Expérience client";SNT DDE \ TEC;Piloter la conformité COPC et l'amélioration du service client;Risque de non-conformité du systéme de management intégré (QSE, COPC);Non atteinte des exigences méthodes et performances requises pour la certification COPC;;;;;;;;"Certification de toute l'équipe de DDE/TEC en COPC
Mise en place d'un planning de formation COPC pour toutes les équipes de DDE
Mise en place d'une équipe projet chargée de conduire le changement de paradygme
Tenue trimestrielle d'un copil COPC
Supports structurés avec la ELob 1fois/3semaines à travers des audits spécifiques
Tenue hebdo de la pilperf DRC: indicateurs ";Préventif;Manuelle;2;2;1;;2;;2;3;2
