Macro Processus;Processus;Sous Processus;Entité;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;adresse mail du porteur;Date de début du plan d'action;Date de fin du plan d'action ;Avancement du plan d'action;Statut; DESCRIPTION DU CONTRÔLE;Type de contrôle;Méthode de contrôle;Probabilité ;Gravité;Financier;RH;Image;Juridique;Client;criticité du risque;Maturité CI
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques (OGC DRJ);Division des affaires juridiques (DAJ);Gérer le recouvrement contentieux ;Risque de non recouvrement des créances;"Insuffisance  de
 l'adressage du client";;;;;;;;"Sensibiliser les commerciaux sur l'importance de la collecte exhaustive des informations sur le client au recrutement (Adresse exacte , numéros de contact).
Recours au service des huissiers pour retrouver les clients ";Préventif;Manuelle ;3;2;3;;;1;1;;1
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer les dossiers contentieux;Risque d'engagement de la responsabilité civile et penale des mandataires sociaux; Niveau de corruption  élévé dans le pays et non respect de  l''Etat de droit  (obligations légales et réglementaire) ;;;;;;;;"
 - OGN défend le droit 
 -Respect des Obligations légales et reglementaires 
politique ethique  du groupe ";Préventif;Manuelle;2;3;3;3;4;4;3;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec le régulateur;Risque de réglementation défavorable  du régulateur ;Contentieux avec le Règulateur;;;;;;;;"Veiller au respect des dispositions juridiques et reglementaires 
En cas de contentieux effectuer un recours hiearchique devant l'autorité competente  (Ministère des telecommunication) 
Saisine du tribunal en cas  d'echec  du recours hierarchique ";Préventif;Manuelle;2;3;3;;3;3;2;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Assurer la veille juridique et réglementaire;Risque de réglementation défavorable  du régulateur ;Volonté de l'Autorités de Régulation de revoir les modalités d'exploitation des licences .;;;;;;;;" - Souscription de l'assurance MIGA pour couvrir les investissements sous certaines conditions
 - Anticipation sur les argumentaires à destination de l'Autorité de Régulation après obtention de toutes les autorisations nécessaires et respect de toutes les obligations du cahier de charges, notamment le suivi des échéances pour paiement de toutes les redevances concernant la licence
Respect des accords, de la convention de cession et du cahier de charge . 
 ";Préventif;Manuelle;2;3;3;;3;3;2;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer le contentieux;Risque de perte de procès;Dossier incomplet (archivage);;;;;;;;"Existence de salles  dédiées   pour archivages des dossiers clients,  
recrutement d'un prestataire pour la clasement des dossiers
controles  periodiques sur la completude des dossiers.";Préventif;Manuelle;2;3;2;;3;3;;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de  redressement fiscal;Non enregistrement des contrats auprès de l'Administration fiscale ;;;;;;;;"Les contrats sont systématiquement enregistrés auprès de l'Administration Fiscale par la DRJ .   
Mise en place d'un Etat des contrats Elaborés aucours du mois ";Préventif;Manuelle;1;1;1;1;1;2;;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Réaliser les études et consultations juridiques et règlementaires;Risque de conseils inadaptés;Absence d'informations sur les évolutions de la législation et de la réglementation;;;;;;;;"Abonnement au journal officiel
Veille juridique et reglementaire
Bulletin de veille juridique Hebdo de Sonatel est  diffusé dans la COM .interne . 
";Préventif;Manuelle;1;2;2;2;2;2;2;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer les dossiers contentieux;Risque d'engagement de la responsabilité civile et penale des mandataires sociaux;Suivi insuffisant des dossiers contentieux majeurs ;;;;;;;; Existence d'un fichier de suivi des contentieux mis à jour après chaque compte rendu d'audience .;Préventif;Manuelle;1;3;3;3;4;4;3;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division des affaires juridiques (DAJ);Gérer les dossiers contentieux;Risque d'engagement de la responsabilité civile et penale des mandataires sociaux;Non implication de la DRJ  dans les phases précontentieuses;;;;;;;;" Orientation  systématiquement de  tout courrier qui présente des aspects juridiques à la DRJ  
Diffusion d'une note d'alerte pour sensibiliser le personnel sur les risques juridiques et la nécessité de remonter systématiquement les précontentieux";Préventif;Manuelle;1;3;3;3;4;4;3;;3
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec Parties prenantes ( BSDA, OAPI, ARPT pour les promos etc.);Risque de violation des droits de propriété intellectuelle;Exploitation d'oeuvres d'autrui sans paiement de doits d'auteurs ;;;;;;;;"Pour les droits d'auteur sur l'utilisation des œuvres musicales comme tonalité d'attente un contrat est signé avec le BGDA .
Tous les paiements au BGDA sont validés par le Marketing";Préventif;Manuelle;2;3;3;1;3;3;3;;2
Piloter l'entreprise Orange Guinée;Adapter l'entreprise à l'énvironnement juridique et réglementaire;Adapter l’entreprise à l’environnement juridique et réglementaire;Direction de la Règlementation et des Affaires Juridiques;Division de la Reglementation   et de la Concurence (DRC);Gérer les relations avec Parties prenantes ( BSDA, OAPI, ARPT pour les promos etc.);Risque de violation des droits de propriété intellectuelle;Exploitation d'oeuvres d'autrui sans paiement de doits d'auteurs ;;;;;;;;"Utilisation d'une Banque d'image OMEA  
Etablissement d'une fiche d'engagement signée par les personnes dont l'image est utilisée pour cession de droit d'image.
Fiche utilisée par les Agences ";Préventif;Manuelle;2;3;3;1;3;3;3;;2
