Macro Processus;Processus;Sous-Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Développer la communication institutionnelle et les relations extérieures;Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Coordonner le COPIL RSE;Risque de manque de performance économique des offres/projets;Disparité des actions organisées par les différentes structures (DCIRE, DMGP, DSD, etc);;;;;;;;"Tenue bimestrielle du COPIL avec les structures concernées (DCIRE, DMGP, DSD, DAL, DDE, ARQ, DV, DRPS)

Elaboration d'une roadmap RSE  pour mettre les actions en synergie
procédure de validation des projets RSE";Préventif;Manuel;1;1;1;1;2;;;1;2
Développer la communication institutionnelle et les relations extérieures;Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Coordonner le COPIL RSE;Risque de manque de performance économique des offres/projets;insuffisance des ressources (Financieres et humaines);;;;;;;;"Orientation vers plus de partenariats et de demandes de financement
Stratégie officielle du groupe de bailleurs de fonds
Partenariat aves des structures déjà financées par ailleurs (Ex: CTIC) pour l'accompagnement des start-up
Construction commune du programme
Reporting mensuel sur l'évolution de l'accompagnement des start-up
DCIRE est membre du board (au CTIC)";Préventif;Manuel;3;1;1;1;2;;;4;
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);sources de financement non avantageuses pour Sonatel;;;;;;;;Financements négociés par le groupe et en local - validés par le board;Préventif;Manuel;1;2;1;2;3;;;2;3
Développer la communication institutionnelle et les relations extérieures;Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Coordonner le COPIL RSE;Risque de corruption;Absence de due diligence dans le choix des partenariats;Etudier la possibilité avec ARQ/RCI de faire des due diligence pour les projets importants;Rokhaya solange;;;31/12/2018;;soldé;Introduction de la due dil en mars 2020 avec accompagnement ARQ/PACO;Préventif;Manuel;2;2;1;2;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Coordonner le COPIL RSE;Risque de manque de performance économique des offres/projets;Non tenue des COPIL RSE;;;;;;;;Tenue bimestrielle du COPIL avec les structures concernées (DCIRE, DMGP, DSD, DAL, DDE, ARQ, DV, DRPS);Préventif;Manuel;2;1;1;1;2;;;3;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Décalage entre la stratégie RSE et le plan stratégique global RSE de Orange;;;;;;;;"""- Mise en place du comité RSE Groupe composé de membres du CODIR qui porte la stratégie de SONATEL. Ce comité présidé par le DG est responsable :
- de la définition de la stratégie RSE Groupe
- du pilotage et de la coordination de la politique RSE
- Signature de d'une politique RSE basée sur la politique Groupe ( 5 axes stratégique de l'Entreprise)";Préventif;Manuel;1;2;1;;3;;;2;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Décalage entre la stratégie RSE des filiales  et le plan stratégique Groupe  RSE de Sonatel;;;;;;;;""" - Identification des indicateurs Indicia et mise  à jour application Indicia
 - Formations prévues avec le responsable indicia de France en juillet et accompagnement des contributeurs
 - Procédure adaptée senegal pour les contributions indicia
 - Fiabil";Préventif;Manuel;1;2;1;;3;;;2;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Décalage entre la stratégie RSE Sonatel  et les action de la Fondation Sonatel;;;;;;;;"RSEP est membre du comité de selection des projets mecenat de la fondation
- Indicateur de suivi : sondage parties prenantes
 - Les actions de mécénat (Fondation) entrent dans la politique RSE
";Préventif;Manuel;2;2;1;;3;;;4;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Communication insuffisante sur les actions RSE;;;;;;;;""" - Publication Newsletter RSE
 - Communication sur les projets
 - Confection de supports de com RSE
 - Communiquer avec les parties prenantes
 Sen Kaddu thémétiques pour vulgariser les actions thématiques";Préventif;Manuel;1;2;1;;3;;;2;2
Développer la communication institutionnelle et les relations extérieures;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;Développer la Communication Institutionnelle et la Responsabilité Sociale d’Entreprise;SNT DCIRE \ RSEP;Définir et déployer la stratégie RSE du groupe SONATEL;Risque de réputation (image négative);Déploiement inadapté ou inapproprié De la politique RSE;;;;;;;;"roadmap declinée en fonction des ODG
 - Composition du comité RSE implique l'ensemble des Directions de l'Entreprise
- Elaboration de la politique RSE
- Mise en place d'un plan de communication adapté.
"" - Sondage des parties prenantes 
 - Rencontres avec les Directions""
Mise en place d'un réseau de correspondants RSE ";Préventif;Manuel;1;2;1;;3;;;2;2
