Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI
Risque de fraude ;accès au journal sans paiement;"Vérifier avec les supports techniques les SLA sur la disponibilité des systèmes de contrôle
Conduire des tests pour s'assurer de la fiabilité des opérations de contrôle effectués entre API Billing/SDP -GOS) - IN (SA)
Mettre en place un reporting mensuel lors de la facturation: à ce moment-là croisement des CDR et ce que remonte Senkiosk pour s'assurer qu'il n'y a pas d'écarts";Chef de projet;;;31/08/2015;;Non échu;"Le check du solde est décrit dans le parcours client
";;;2;1;1;;1;;;;
Risque de fraude ;modification du tarif des journaux à 0F en interne;Mettre en place un reporting mensuel lors de la facturation: à ce moment-là croisement des CDR et ce que remonte Senkiosk pour s'assurer qu'il n'y a pas d'écarts;Chef de projet;;;31/08/2015;;Non échu;Existence de différents profils avec des accès différents (un admin et des profils consultation au niveau du back office);;;1;1;;;;;;;
Risque de fraude ;Possibilité de téléchargement le jour J;;;;;;;;Le bouton de téléchargement ne s'affiche pas le jour J, juste à partir du J+1;;;1;1;;;;;;;
Risque de fraude ;Piratage du serveur;Vérifier avec les supports techniques les assurances de sécurité;Chef de projet;;;31/08/2015;;Non échu;"Existence d'une charte de sécurité informatique
Gestion des accès admin par DRPS
Nécessité d'avoir des autorisations temporaire spour charger de nouveaux modules sur la plateforme";;;1;1;;;;;;;
Risque de manque de performance économique des offres/projets;Insuffisance de partenaires;;;;;;;;"Démarchage en progression des organes de presse nationaux pour la phase 1 (ok par ex pour l'as, stades, le quotidien, l'obs, la gazette, etc, sauf le soleil) et des journaux internationaux
Accompagnement par le directeur partenariat et services groupe pour le démarchage des journaux européens";;;1;1;1;;;;;;
Risque de manque de performance économique des offres/projets;Non respect des engagements  des insertions publicitaires (par Orange et les éditeurs de presse);;;;;;;;Inclus dans le contrat: Parution hebdo dans le quotidien et publication du logo par Orange dans nos insertions publicitaires;;;2;1;;;;;;;
Risque de manque de performance économique des offres/projets;Indisponibilité des journaux sur l'appli;Mettre en place avec le chef de chantier partenariat des pénalités à appliquer aux organes de presse en cas de non chargement dans les délais de leurs journaux (en définissant les horaires limites de chargelent) et sinon voir avec DRJ la possibilité de le mettre en oeuvre;Chef de projet;;;31/08/2015;;Non échu;Les éditeurs de presse chargent leurs journaux sur l'appli dès que ces derniers sont disponibles, avant même impression;;;2;1;;;;;;;
Risque de non respect des engagements commerciaux;Indisponibilité des journaux sur l'appli;Mettre en place avec le chef de chantier partenariat des pénalités à appliquer aux organes de presse en cas de non chargement dans les délais de leurs journaux (en définissant les horaires limites de chargelent) et sinon voir avec DRJ la possibilité de le mettre en oeuvre;Chef de projet;;;31/08/2015;;Non échu;Les éditeurs de presse chargent leurs journaux sur l'appli dès que ces derniers sont disponibles, avant même impression;;;2;2;;;;;;;
Risque de manque de performance économique des offres/projets;Téléchargement sans débit du compte client;;;;;;;;;;;2;1;;;;;;;
Risque de manque de performance économique des offres/projets;Possibilité aujourd'hui  de télécharger des journaux ou des magazines gratuitement;"Le point de la gratuité sera revue avec le soleil car ce quotidien est déjà téléchargeable au jour j sur le net
Anticiper sur les conditions de parution pour tous les journaux déjà gratuits sur le net et désirant des contrats sur senkiosk ou étant démarchés";Chef de projet;;;24/12/2014;;annulé;Les magazines gratuits seront accessibles gratuitement sur senkiosk;;;2;1;;;;;;;
Risque de manque de performance économique des offres/projets;Lenteur de téléchargement;Voir le nombre de téléchargements possibles à la minute avec le support technique;Chef de projet;;;24/08/2015;;Non échu;Le serveur est dédié et est actuellement dimensionné pour N téléchargements/mn;;;2;1;;;;;;;
Risque de non respect des engagements commerciaux;Défaut de support/suivi sur l'appli (développement de l'appli par un temporaire);;;;;;;;Transfert de compétence au service développement;;;3;2;1;;2;;2;;
Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Absence de partenariats;;;;;;;;"Démarchage en progression des organes de presse nationaux pour la phase 1 (ok par ex pour l'as, stades, le quotidien, l'obs, la gazette, etc, sauf le soleil) et des journaux internationaux
Accompagnement par le directeur partenariat et services groupe pour le démarchage des journaux européens";;;1;2;1;;3;;;;
Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Indisponibilité de l'appli;;;;;;;;les développeurs sont en phase avec le planning prévisionnel;;;2;2;;;;;;;
Risque de lancement tardif d'offres innovantes ou promotionnelles par rapport à la concurrence, aux attentes clients ou à nos promesses;Indisponibilité des chantiers contributeurs;;;;;;;;Tous les chantiers sont en phase avec le planning prévisionnel;;;1;2;;;;;;;
Risque de divulgation d'informations confidentielles;Utilisation des coordonnées bancaires d'un client par un tiers lors d'un paiement par paypal;;;;;;;;Paiement sur l'interface de paypal qui te rebascule sur celle de senkiosk une fois le paiement validé par paypal;;;1;1;;;;1;;;
Risque de fraude ;Utilisation des coordonnées bancaires d'un client par un tiers lors d'un paiement par paypal;;;;;;;;Paiement sur l'interface de paypal qui te rebascule sur celle de senkiosk une fois le paiement validé par paypal;;;1;1;;;;;;;
Risque de non respect des engagements commerciaux;Débit du compte client sans possibilité de visualiser;;;;;;;;"Existence de logs et de tables pour écrire tous les détails des opérations des clients
Traitement des réclamations niveau 2 au niveau de SMM à J+1 au maximum
niveau 1 par le service client avec l'aide d'une interface qui va résumer les opérations de débit sur les comptes des clients";;;2;1;;;;;;;
Risque de non traçabilité des opérations dans les SI;bug du SI ou de l'appli;Vérifier avec les supports techniques les assurances SLA et prévoir un système de backup des serveurs;Chef de projet;;;31/08/2015;;Non échu;;;;2;2;1;;2;;2;;
Risque de non traçabilité des opérations dans les SI;Suppression de la table de traçage;Prévoir un système de backup des infos de back office;Chef de projet;;;31/08/2015;;Non échu;Il existe un seul compte admin;;;2;2;;;;;;;
Risque de non respect des engagements commerciaux;Longueur du process dû  la consultation du solde avant l'achat;;;;;;;;Le client a accès à toutes les informations de son compte, à tout moment.;;;1;2;;;;;;;
