Risque;Causes;Libellé PA;Porteur;Email porteur;Date début;Date de fin;Commentaires;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode contrôle;Probabilité;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité
Risque de manque de performance économique des offres/projets;diminution des revenus sur le sms classique (impacts sur le wholesale);;;;;;;;orientation stratégique de développer les usages data;Préventif;manuelle;1;1;1;;;;;
Risque de lancement d'offre ou de projet non fonctionnel;insuffisance des ressources data de google;Enquérir auprès du support groupe les garanties sur les capacités (serveurs) mises à disposition par google pour un bon usage du rcs;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;1;2;1;;3;1;3;
Risque de fraude;difficutés d'accès aux données client et celles échangées (Ex: Identif et CDR);Préparer un dossier avec DRJ à soumettre à la CDP tenant compte de la localisation des serveurs de google hors du Sénégal;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;1;2;1;1;3;1;3;
Risque de fraude;manque de sécurité des transactions financières;;;;;;;;Les applications avec paiement ne sont pas embarquées dans la première phase du projet;Préventif;manuelle;1;2;1;1;3;1;3;
Risque de lancement d'offre ou de projet non fonctionnel;impossibilité de développer des applis sur rcs en local;;;;;;;;Le développement d'applications supplémentaires n'est pas embarqué dans la première phase du projet;Préventif;manuelle;1;2;1;;3;1;3;
Risque de manque de performance économique des offres/projets;fin de la période d'accompagnement de 4mois par google pour intégration avant le lancement réel du projet en local;Finaliser le contrat avec DRJ pour pouvoir démarrer le déploiement;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;2;2;1;;3;;1;
Risque de lancement d'offre ou de projet non fonctionnel;envoi de messages rcs non reçus sous forme de sms pour les clients n'ayant pas l'appli rcs;Dérouler les tests avec le contributeur technique pour s'assurer de la bonne réception des sms par les clients ne disposant pas de l'appli rcs;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;2;2;1;;3;1;3;
Risque de non respect des dispositions juridiques et réglementaires;non prise en compte des lois et réglements sénégalais dans le contrat avec google;Relancer le support groupe sur la structure des coûts et finaliser la mise à jour en cours du contrat google local avec DRJ;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;2;2;1;1;3;2;;
Risque de fraude;absence de facturation à la fin du volume de data offert;Mettre en place le processus de positionnement des pass gratuits et dérouler les tests pour s'assurer de leur bon fonctionnement (début-arrêt-gratuité);André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;2;2;1;1;3;1;3;
Risque de lancement d'offre ou de projet non fonctionnel;perte de l'historique des messages rcs en cas de changement de puce sur le numéro;Voir avec le groupe quelle solution apporter à la conservation et la disponibilité pour les clients finaux des messages éhangés même après un changement de puce;André Nicolas Sarr;andrenicolas.sarr@orange-sonatel.com;;15/02/2018;;Non échu;;;;3;2;1;;3;1;3;
