Risque;Causes;Libellé;Porteur;Email porteur;Date début;Date fin;Avancement du plan d'action;Statut du plan d'action;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Probabilité;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité;Maturité
Risque de livraison de services non fonctionnels;perte ou corruption des informations client lors de la migration;"Définir le mode de migration : en one shot ou en différentes étapes
Définir un dry run et le mode de roll back";Abdoulaye Seye;;;30/05/2018;"mode de migration non encore défini dans la stratégie

Migration initiée une fois le chantier qualité des données bouclé (100%)

contrat d'interface avec le fournisseur

mise en place d'une base de données intermédiaires avec des scripts de vérification";Non échu;;;;3;2;2;2;2;1;2;;1
Risque de livraison de services non fonctionnels;Echec de la migration en one shot;"Définir le mode de migration : en one shot ou en différentes étapes
Définir un dry run et le mode de roll back";Abdoulaye Seye;;;30/05/2018;"mode de migration non encore défini dans la stratégie

Migration initiée une fois le chantier qualité des données est bouclé

contrat d'interface avec le fournisseur

mise en place d'une base de données intermédiaires avec des scripts de vérification

";Non échu;;;;2;2;2;2;2;1;2;;2
Risque de livraison de services non fonctionnels;Incompatibilité entre les outils des différents fournisseurs et les SI existants;"Etudier la compatiblité des outils des différents intervenants à mener
Définir les limites d'intervention de chaque fournisseur";Abdoulaye Seye;;;30/05/2018;"listing effectué de l'ensemble des interconnexions de SI pour étude des compatibilités de versions, etc
A finaliser lors des relectures de spec";Non échu;;;;2;2;2;2;2;1;2;;2
Risque de livraison de services non fonctionnels;Non mise à jour des procédures impactées par le projet;Identifier l'ensemble des procédures impactées dans le projet et planifier leur mise à jour;Abdoulaye Seye;;;30/05/2018;"Identification par le chantier process de l'ensemble des procédures/modes opératoires oboslètes à mettre à jour
A finaliser lors des relectures de spec

Procédure principale identifiée à date : gestion des plaintes client

attente fin des ateliers de cadrage pour identifier les procédures ";en cours;création d'un sharepoint où seront logés les documents et tuto;préventif;automatique;3;2;2;2;2;1;2;;1
Risque de livraison de services non fonctionnels;SI inadapté aux besoins des utilisateurs;"Checker les livrables des ateliers pour s'assurer que les besoins des utilisateurs sont bien pris en compte

Planifier un programme de formation des utilisateurs sur la nouvelle interface";Abdoulaye Seye;;;30/05/2018;"prise en compte de tous les besoins et étude lors de la relecture des spec

Point suivi dans le quitus de sécurité puis à tester 

";en cours;;;;2;2;2;2;2;1;2;;2
Risque de divulgations d'informations confidentielles;copie des informations client par un tiers (fournisseur ou autre)  durant le projet;"Verrouiller avec DSI la programmation de l'intégration de l'appli CRM dans Arcsight avant le début de l'exploitation du projet

Définir les différentes catégories d'accès,  leurs modes d'accès (sécurité autour du mot de passe)
Mettre en place un système de traçabilité des logs
Définir la duére de conservation des logs";Abdoulaye Seye;;;30/05/2018;"Clause de confidentialité embarquée dans les contrats avec les fournisseurs

vérification des  points sécurité (profils et mode d'accès + traçabilité logs) par le chantier IT ";Non échu;;;;3;2;2;1;2;1;2;;1
Risque de livraison de services non fonctionnels;incohérence des données après migration;"Définir le mode de migration : en one shot ou en différentes étapes
Définir un dry run et le mode de roll back";Abdoulaye Seye;;;30/05/2018;"contrôles ante et post migration par le chantier qualité de données 
fiabilisation ok pour Gaïa et Simplissimo
nessico: 40% de fiab

mode de migration non encore défini dans la stratégie

Migration initiée une fois le chantier qualité des données est bouclé (100%)

contrat d'interface avec le fournisseur

mise en place d'une base de données intermédiaires avec des scripts de vérification";Non échu;;;;2;2;2;2;2;1;2;;2
Risque de livraison de services non fonctionnels;dysfonctionnement des interfaces entre les différentes applications après la mise en production;"Définir les points de check nécessaires pour s'assurer que les interfaces configurées sont bien fonctionnelles
Mise en place d'un Hub au sein de DSI pour une gestion unifiée (normalisation des web services) des interfaces: mise en place + sup";Abdoulaye Seye;;;30/05/2018;"deux types d'interface:
 - entre les applis
 - entre les plateformes de service";Non échu;;;;4;2;2;2;2;1;2;;1
Risque de livraison de services non fonctionnels;Absence de RH pour prendre en charge l'interfaçage;Poser le point en comité, avec DSI, pour disposer d'une RH;Abdoulaye Seye;;;30/05/2018;;Non échu;;;;4;2;2;2;2;1;2;;1
Risque de fraude;exploitation des informations client à des fins frauduleuses;"Verrouiller avec DSI la programmation de l'intégration de l'appli CRM dans Arcsight avant l'entrée en production du projet

Définir les différentes catégories d'accès,  leurs modes d'accès (sécurité autour du mot de passe)
Mettre en place un système de traçabilité des logs
Définir la duére de conservation des logs";Abdoulaye Seye;;;30/05/2018;"Clause de confidentialité embarquée dans les contrats avec les fournisseurs

vérification des  points sécurité (profils et mode d'accès + traçabilité logs) par le chantier IT ";Non échu;;;;3;2;2;1;2;;;;1
