Risque;Causes;Libellé;Porteur;email du porteur;Date de début ;Date de fin;Commentaires;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité;Matirié
Risque de non respect des dispositions juridiques et reglementaires;Commercialisation dans des zones sous concession;Adresser un courrier aux autorités (PR, PM, Ministre de l'énergie, Président Assemblée Nationale et CRSE) validé DCIR & DRJ pour les informer du lancement du projet SHS ;Amadou Tidiane Ly;;;25/05/2018;;Non échu;Vérification auprès des autorités (Directeur de l'electricité et secretaire permenant de l'electricité) qui ont donnée l'assurance de non exclusivité dans la distribution de kit solaire dans les zones sous concession;Préventif;Manuelle;1;2;;;2;2;;;3
Risque de non maitrise des stocks;Rupture de stock des kits basiques ou TV;;;;;;;;Définition d'un stock de sécurité de 15% de la quantité des 1000 kits commandés pour parer à toute rupture ou remplacement;Préventif;Manuelle;1;2;1;;2;;2;;3
Risque de non recouvrement des créances;Impayés clients SHS;Mettre en place un plateau dédié (6 CC au total de 8h à 22 h et 7J/7) pour la prise en charge des opérations de support niveau 1, de relance, de sensibilisation, récupération de kit et de recouvrement;Amadou Tidiane Ly;;;08/06/2018;;Non échu;;;;1;4;4;;;;;;3
Risque de non respect des engagements commerciaux;Retard de prise en charge des incidents par Sonatel;;;;;;;;"Support niveau 1 assuré par le plateau dédié  (6 CC au total de 8h à 22 h et 7J/7)

Formation des équipes techniques de Sonatel sur le support niveau 2 avec le client qui doit venir en agence pour le diagnostic en vue du remplacement";Préventif;Manuelle;1;2;;;2;;2;;3
Risque de developpement insuffisant des ventes;Déficit d'animation pour booster les ventes;;;;;;;;Allocation d'un budget d'animation qui sera transféré à DV/DAVT;Préventif;Manuelle;1;4;4;;;;;;3
Risque de manque de performance économique des offres/projets;Non compétitivité des tarifs orange par rapport à la concurrence Ex offre basique;;;;;;;;Le kit basique sert d'offre d'appel et l'objectif est de pousser les clients à prendre le kit TV au bout d'un certain temps à l'instar de la stratégie de Bboxx au Rwanda;Préventif;Manuelle;2;2;2;;;;;;2
Risque de non recouvrement des créances;Echeances de paiement non respectés par les clients;Mettre en place un plateau dédié (6 CC au total de 8h à 22 h et 7J/7) pour la prise en charge des opérations de support niveau 1, de relance, de sensibilisation, récupération de kit et de recouvrement;Amadou Tidiane Ly;;;08/06/2018;;Non échu;"Définition d'un taux d'utilisation du service calculé en fonction du respect du paiement des écheances et de la durée du contrat de souscription. 

Tous les clients qui en dessous d'un taux d'utilisation de 65% sont considérés comme des clients à reposséder avec la récupération du kit énergie à l'instar de la stratégie de Bboxx au Rwanda";Préventif;Automatique;2;4;4;;;;;;2
Risque de dégradation de la qualité de service;attaque des équipements solaires par la foudre;;;;;;;;Tous les accessoires des kits énergie sont sous une garantie de 3 ans, le panneau et la batterie sur 10 ans;Préventif;Manuelle;1;2;2;;2;;2;;3
Risque de manque de performance économique des offres/projets;Rupture de stock des pièces de rechange;;;;;;;;Définition d'un stock de sécurité de 15% de la quantité des 1000 kits commandés pour parer à toute rupture ou remplacement;Préventif;Automatique;1;2;2;;;;;;3
Risque de dégradation de la qualité de service;Non respect des opérations de maintenance des kits;;;;;;;;"Support niveau 1 assuré par le plateau dédié  (6 CC au total de 8h à 22 h et 7J/7) au besoin

Formation des équipes techniques de Sonatel sur le support niveau 2 avec le client qui doit venir en agence pour le diagnostic en vue du remplacement";Préventif;Manuelle;1;2;2;;2;;2;;3
Risque de non respect des engagements commerciaux;Méconnaissance par les clients des conseils de bon usage;;;;;;;;Au moment de l'installation, le technicien transfére au client les conseils de bon usage;Préventif;Manuelle;1;2;;;2;;2;;3
Risque de non fiabilité de l'information pour le pilotage;Collecte manuelle des données de reporting sur la vente des kits solaires;;;;;;;;"Utilisation du SI du partenaire Bboxx avec l'implementation de tous les KPI nécessaires au pilotage de l'activité de vente de kit solaire

Formation de l'équipe projet (Chef de projet, responsable vente, responsable finance compta, responsable service client, responsble logistique et technique) à Kigali pendant 2 semaines sur les SI et les procédures";Préventif;Automatique;1;2;;;1;;2;;3
Risque de non conformité du système QSE ;Non application des dispositions prévues par les normes QSE sur le cycle de vie des équipements;;;;;;;;Gestion du recyclage des kits solaires assurée par DAL/GCL;Préventif;Manuelle;1;2;;;2;;;;3
Risque de non fiabilité de l'information pour le pilotage;Absence de visibilité à 360° sur le niveau de stock du réseau commercial et technique;;;;;;;;"Utilisation du SI du partenaire Bboxx avec l'implementation de tous les KPI nécessaires au pilotage de l'activité de vente de kit solaire

Formation de l'équipe projet (Chef de projet, responsable vente, responsable finance compta, responsable service client, responsble logistique et technique) à Kigali pendant 2 semaines sur les SI et les procédures";Préventif;Automatique;1;2;;;1;;2;;3
