Risque (points d'attention);Causes (facteurs à l'origine des points d'attention);Libellé PA;Porteur;email porteur;date début;Date fin;Commentaires;Statut;CONTRÔLE DESCRIPTION (réponses aux causes identifiées);Type de contrôle;Méthode de contrôle;Proba;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité;maturité CI
Risque de fraude;modification frauduleuse des états des sims;Définir les profils et les conditions d'accès aux plateformes;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;30-nov.-18;A intégrer lors de la 1ère phase de lancement prévue en décembre;Non échu;;;;1;2;1;1;3;1;3;;3
Risque de divulgation d'informations confidentielles;Exploitation frauduleuse des informations client ;Définir les profils et les conditions d'accès aux plateformes;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;30-nov.-18;2ème phase de lancement prévue en décembre;Non échu;;;;1;3;1;1;3;4;4;;3
Risque de non respect des dispositions juridiques et réglementaires;absence de sécurisation et indisponibilité des données client;Verrouiller avec les DRJ (auprès de la CDP) les aspects réglementaires liés à l'exploitation des données client et aux autorisations nécessaires si les serveurs sont situés hors du pays;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;"Attente choix de la solution parmi: global roaming; achat de la plateforme+intégration en local; full dév en local via le selfcare BtoB";Non échu;;;;1;2;1;;3;2;2;;3
Risque de non respect des dispositions juridiques et réglementaires;indisponibilité/inaccessibilité des données du reporting;Verrouiller les délais de conservation et d'accessibilité maximum des données de reporting;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;"Attente choix de la solution parmi: global roaming; achat de la plateforme+intégration en local; full dév en local via le selfcare BtoB";Non échu;;;;1;2;1;;3;2;2;;3
Risque de non respect des engagements commerciaux;dimensionnement insuffisant du réseau: perte de service;Verrouiller avec la technique les capacités du réseau avec le provisionning des 20.000 sims M2M prévus en 2018;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;Attente retour de la technique;Non échu;;;;1;2;1;;3;;3;;3
Risque de non respect des engagements commerciaux;surcoût lié au changement des sims actuels en sims pouvant être géolocalisés;"
Donner la possibilité aux clients de faire le choix de rester sur les sims actuelles ou de migrer sur les smart sims";Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;;Non échu;;;;3;2;1;;3;;3;;1
Risque de non respect des engagements commerciaux;perte de connectivité des sims;Définir les SLA sur les sims et le mode de prise en charge en cas de perte de connectivité des sims;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-août-18;Choix des sims à acquérir à faire suivant la solution qui sera retenue;Non échu;;;;1;2;1;;3;;3;;3
Risque de non respect des engagements commerciaux;absence de remontée des alarmes de supervision;Définir les prérequis à la remontée des alarmes et le mode de remontée (fréquence, device, etc);Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;"Attente choix de la solution parmi: global roaming; achat de la plateforme+intégration en local; full dév en local via le selfcare BtoB";Non échu;;;;1;2;1;;3;;3;;3
Risque de non respect des engagements commerciaux;supervision défectueuse du trafic des sims;Définr les SLA sur la supervision du trafic des sims;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-août-18;Choix des sims à acquérir à faire suivant la solution qui sera retenue;Non échu;;;;2;2;1;;3;;3;;2
Risque de non fiabilité de la facturation;erreur de facturation dû aux erreurs SI (dysfoncionnement des interfaces avec nessico);Recueillir les SLA sur Nessico et le mode de traitement en cas d'erreur ou de manquement sur la facturation (procédure de traitement des réclamations);Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-août-18;"Attente choix de la solution parmi: global roaming; achat de la plateforme+intégration en local; full dév en local via le selfcare BtoB";Non échu;;;;1;2;1;1;3;;3;;3
Risque de non fiabilité de la facturation;connexions intempestives ou faibles (crazy ou lazy machines);Vérifier si l'outil de supervision embraque les cas de lazy ou crazy machines et comment est-ce que c'est pris en charge;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-déc.-18;A tester lors de la phase pilote;Non échu;;;;2;2;1;1;3;;3;;2
Risque de dégradation de la qualité de service;perte de connectivité des sims;Définir les SLA sur les sims et le mode de prise en charge en cas de perte de connectivité des sims;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-août-18;Choix des sims à acquérir à faire suivant la solution qui sera retenue;Non échu;;;;1;2;1;1;3;;3;;3
Risque de lancement de projet non fonctionnel;dysfonctionnement des interfaces avec nessico, kpsa, etc;Définir les SLA et le mode de supervision sur les différentes interfaces;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;31-août-18;"Type d'interfaçage ientifié et défini

Attente choix de la solution (parmi: global roaming; achat de la plateforme+intégration en local; full dév en local via le selfcare BtoB)
pour finaliser";Non échu;;;;2;2;1;1;3;;4;;2
Risque de lancement de projet non fonctionnel;Détérioration rapide des sims;Orienter les clients vers les smart sims dna sla conception de l'offre;Bernard Caine Faye;;;31-août-18;;Non échu;;;;2;2;1;1;3;;4;;2
Risque de lancement tardif du projet;disponibilité tardive de la plateforme - choix tardif de la solution technique à adopter;Verrouiller avec la technique le choix de la solution technique;Bernard Caine Faye;bernardcaine.faye@orange-sonatel.com;;7-août-18;;En cours;;;;1;2;1;;2;;2;;3
