Risque;Causes;Description du plan d'action;Porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Juridique;Commercial;Images;Ressources Humaines;Criticité
Risque de fraude;Absence d'audit sur les circuits existants;Choisir avec la technique le fournisseur adapté et définir un plan d'audit sur les circuits sms actuels et  ceux à venir potentiellement;Aminata Tabara Dadelle GUEYE;;30/08/2019;"2ème audit en cours
cahier de charges à rédiger si audit non concluant";En cours;;;;3;1;1;;;;;3
Risque de fraude;Absence d'audit sur les circuits existants;;;;;;;Vérification manuelle sur la base des reportings partagés par le services trafic facturation (TFO) et analyse (APT) de DOI;Préventif;Manuelle;3;1;1;;;;;3
Risque de fraude;Absence d'outils de détection de la fraude sms;Choisir avec la technique  entre une des deux options pour l'outil anti-fraude: exploiter le firewall existant sur le hub ou acquérir un nouvel outil parmi ceux que suggèrent le groupe;Aminata Tabara Dadelle GUEYE;;30/08/2019;"2ème audit en cours
cahier de charges à rédiger si audit non concluant";En cours;;;;2;1;1;;;;;4
Risque de fraude;Absence d'outils de détection de la fraude sms;Finaliser avec DOI/DLST la procédure anti-fraude sur le national et avec DFC/CRA les règles de routage pour identifier les actions de blocage à mettre en place;Aminata Tabara Dadelle GUEYE;;30/08/2019;Procédure en cours et rédaction avec DFC/CRA;En cours;;;;2;1;1;;;;;4
Risque de fraude;Absence d'outils de détection de la fraude sms;;;;;;;Avec  le firewall existant, il est possible de détecter la fraude (tables de routage). Déjà fait sur l'international.;Préventif;Automatique;2;1;1;;;;;4
Risque de fraude;Terminaison frauduleuse de sms sur les nouveaux circuits installés;Choisir avec la technique le fournisseur adapté et définir un plan d'audit sur les circuits sms actuels et  ceux à venir potentiellement;Aminata Tabara Dadelle GUEYE;;30/08/2019;"2ème audit en cours
cahier de charges à rédiger si audit non concluant";En cours;;;;2;1;1;;;;;2
Risque de fraude;Bypass sur les sms par les autres opérateurs;"Empêcher le bypass de sms entre opératuers et/ou carriers en faisant des blocages sur les BPQ à l'image de la solution groupe

Dérouler les tests pour s'assurer de l'efficacité des solutions";Aminata Tabara Dadelle GUEYE;;18/03/2018;;Annulé;;;;2;1;1;;;;;2
Risque de fraude;Bypass sur les sms par les autres opérateurs;;;;;;;On est dans un schéma d'envoi de sms à l'international donc il n'y a pas de risque de bypass sur l'envoi;Préventif;Manuelle;2;1;1;;;;;2
Risque de manque de performance économique des offres/projets;Réduction de la capacité des circuits existants exploités par les fraudeurs;Dérouler les audits sur les circuits actuels pour éradiquer le trafic sms frauduleux et pouvoir exploiter pleinement les circuits existants;Aminata Tabara Dadelle GUEYE;;30/08/2019;"2ème audit en cours
cahier de charges à rédiger si audit non concluant";En cours;;;;3;1;1;;;;;3
Risque de manque de performance économique des offres/projets;Réduction de la capacité des circuits existants exploités par les fraudeurs;Rédiger la procédure d'audit des circuits sms;Aminata Tabara Dadelle GUEYE;;30/08/2019;Procédure en cours et rédaction avec DFC/CRA;En cours;;;;3;1;1;;;;;3
Risque de manque de performance économique des offres/projets;insuffisance des licences proposée par le fournisseur;Faire valider par la technique la complétude des licences proposées par le fournisseur (new net) sur le sms-c;Aminata Tabara Dadelle GUEYE;;17/03/2018;;Annulé;;;;1;1;1;;;;;1
Risque de manque de performance économique des offres/projets;insuffisance des licences proposée par le fournisseur;;;;;;;"sanity check (circuit du sms) par newnet soldé
Fonctionnalité sms hub validée techniquement dans la nouvelle offre technique embarquant le nombre de licences nécessaire";Préventif;Manuelle;1;1;1;;;;;1
Risque de manque de performance économique des offres/projets;cannibalisation par l'offre d'agrégation sms groupe;Mettre à jour le BP pour une prise en compte des pertes de revenus pouvant être entraînés par l'offre Bizao;Aminata Tabara Dadelle GUEYE;;05/12/2018;;Soldé;"BP positif
1. Orange Senegal est désormais par le groupe comme le wholesaler sms
2.  il n'y a plus de capex car il est possible de différencier les SMS AtoP des SMS PtoP";Préventif;Manuelle;1;1;1;;;;;3
Risque de non respect des dispositions juridiques et reglementaires;offre inaccessible aux careers locaux;Identifier et adresser les careers locaux au même titre que S2M;Aminata Tabara Dadelle GUEYE;;16/03/2018;Plan d'action annulé car il s'agit de la DRJ à porter à l'Artp;Annulé;;;;1;2;1;1;;3;;2
Risque de non respect des dispositions juridiques et reglementaires;offre inaccessible aux careers locaux;;;;;;;"choix de collaborer uniquement avec S2M pour éviter un circuit de validation avec l'ARTP.
Mode de fonctionnement actuel";Préventif;Manuelle;1;2;1;1;;3;;2
Risque de non respect des dispositions juridiques et reglementaires;offre inaccessible aux carriers locaux - commercialisation de l'offre avec S2M uniquement;Verrouiller avec DRJ la possibilité de se limiter à une collaboration avec S2M uniquement;Aminata Tabara Dadelle GUEYE;;11/12/2018;;Soldé;S2M est considéré comme un agrégateur qui se rapproche de Orange pour la terminaison internationale et n'est pas un partenaire privilégié;Préventif;Manuelle;1;2;1;1;;3;;4
Risque de non respect des engagements commerciaux;Non délivrance des sms des opérateurs/carriers;"Définir les SLA à préciser dans les offres  et dérouler les tests pour s'assurer qu'ils sont respectés

Préciser dans les contrats les modes de traitement en cas de non respect des SLA";Aminata Tabara Dadelle GUEYE;;30/08/2019;;Annulé;les contrats de terminaison de sms dans le réseau n'intègrent pas de SLA;Préventif;Manuelle;1;2;1;;2;2;1;4
