SITE;Domaine d'activité;Activité/ Equipement;type(activite ou equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;date de debut;date de fin;avancement du PA;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Mbour FH;;Véhicules;;;Absence d'airbag dans les véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Systématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;Prévention;Manuel;;;;;;;1;3;3;2
Mbour FH;;Véhicules;;;Absence d'airbag dans les véhicules;A;Risque d'accident;;Polytraumatisme (fracture, entorse, plaie ouverte…);Systématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;;;;;;;;;1;3;3;2
Mbour FH;;Détecteur d'incendie;;;Absence de détecteurs d’incendie ou détecteurs HS ;A;Risque d'incendie;Environnement immédiat;Brûlures;"Les salles techniques sont doté de détecteurs d'incendies

Un entretien des détecteurs est mis en œuvre par le sous traitant SODECI";Prévention;Manuel;;;;;;;1;4;4;3
Mbour FH;;Intervention;;;Absence de formation en secourisme et incendie;A;Risque d'incendie;Poste de travail;Brûlures;Des formations ont été délivrées par DG/SECU sur l'utilisation des extincteurs;Prévention;Manuel;;;;;;;1;4;4;3
Mbour FH;;Intervention;;;Absence de garde corps, harnais;A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);"EPI mis à disposition des agents d'intervention
Sensibilisation des agents d'intervention sur l'obligation du port et l'utilisation des EPI";Protection;Manuel;;;;;;;1;3;3;3
Mbour FH;;Intervention;;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé);" - Exsitence d'EPI mis à disposition des agents d'intervention
 - Sensibilisation sur le port des EPI
 - Visites inopinées sur le terrain pour le port des EPI par les CI";Protection;Manuel;;;;;;;1;4;4;2
Mbour FH;;Intervention;;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en en charge de la fonction sécurité dans l'organisation de l'entreprise;Prévention;Manuel;;;;;;;1;4;4;2
Mbour FH;;Assurer la sécurité;;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en en charge de la fonction sécurité dans l'organisation de l'entreprise;;;;;;;;;1;4;4;2
Mbour FH;;Bâtiment;;;Absence d'extincteur d'incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Tous les sites sont dotés d'extincteurs d'incendie;Protection;Manuel;;;;;;;1;4;4;2
Mbour FH;;Entretien des locaux;;;Accumulation de déchets (prolifération de moustiques, insectes…) ;A;Risque biologique;Environnement immédiat;Paludisme, allergie ;"Procédure de gestion des déchets
Déchets (batteries, câbles…) stockés dans aire de stockage et transfert à la DAL pour ventes aux clients ciblés
Ventes organisées des autres déchets par l'agence suite autorisation de DAL
Entretein quotidien du site par un prestataire chargé d'évacuer les déchets";Prévention;Manuel;;;;;;;2;2;4;3
