SITE;Domaine d'activité;Activité/ Equipement;Type( Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Type de contrôle;Porteur;Date de debut;Date de fin;Avancement du PA;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Gestion des déchets;1;;Dépôt de déchets;A;Risque d'incendie;Environnement immédiat;Brûlures;Application de la procédure gestion des déchets :Transfert des déchets (batteries, câbles…)Vente des autres déchets suite autorisation DAL;Preventif;Manuelle;;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technique;Déplacement;1;;Présence d'herbes seches ou de branches sur le site;N;Risque d'incendie;Environnement immédiat;Brûlures; - Le désherbage est pris en charge par les prestataires et gardiens des sites  - Vérification si le désherbage est correctement effectué par les prestataires;Preventif;Manuelle;;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technique;Maintenance;1;;Inhalation de substances chimiques;A;Risque chimique;Poste de travail;Troubles respiratoires;Fournitures d'équipements de Protection Individuelle adaptés aux agents CI;Preventif;Manuelle;;;;;;;;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Batiments Technique et Commercial;2;;Absence d'aération des  toilettes;A;Risque biologique;Environnement immédiat;Inconfort;Mise en place d'une aération des  toilettes;Preventif;Manuelle;;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Maintenance;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé);Sensisibilisation permanente du personnel sur la nécessité du port des EPIMise en place d'un contrôle périodique du port des EPI (mise en place fiche de contrôle);Preventif;Manuelle;;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;Gestion des déchets;1;;Accumulation de déchets (prolifération de moustiques, insectes…) ;A;Risque biologique;Environnement immédiat;Paludisme, allergie ;Procédures de gestion des déchetsDéchets conservés dans les aires de stockage (batteries, câbles..) retournés à la DALEntretien quotidien et désinfection des locaux par un prestataire chargé d'évacuer les déchets;Preventif;Manuelle;;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;;Toutes les activités;1;;Appareils électriques sous tension permanente;N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Courant faible;Preventif;Manuelle;;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Batiments E10 et FH;Batiment ;2;;Boitiers électriques non couverts ;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Mise en place d'une caisse d'avance pour la prise en charge de petites réparations;Preventif;Manuelle;;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Technico commercial;climatiseur;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Maintenance périodique de la climatisation assurée par un prestataire;Preventif;Manuelle;Procéder au remplacement des climatiseurs HS de la salle transmission du site de Louga FH.;;Samba Diop;;30/04/2017;;Non échu;4;2;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louga FH;Intervention;Maintenance;1;;Défaut de balisage des chantiers;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires, polytraumatisme;Contrôle opérationnel vérification du balisage des chantiers;Preventif;Manuelle;;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
