SITE;Domaine d'activité;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut ;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Véhicules;Véhicules;2;;Absence d'airbag dans les véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Systématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Véhicules;Véhicules;2;;Absence d'airbag dans les véhicules;A;Risque d'accident;;Polytraumatisme (fracture, entorse, plaie ouverte…);Systématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Détecteur d'incendie;Détecteur d'incendie;2;;Absence de détecteurs d’incendie ou détecteurs HS ;A;Risque d'incendie;Environnement immédiat;Brûlures;Les salles techniques sont doté de détecteurs d'incendiesUn entretien des détecteurs est mis en œuvre par le sous traitant SODECI;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Absence de formation en secourisme et incendie;A;Risque d'incendie;Poste de travail;Brûlures;Des formations ont été délivrées par DG/SECU sur l'utilisation des extincteurs;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Absence de garde corps, harnais;A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);EPI mis à disposition des agents d'interventionSensibilisation des agents d'intervention sur l'obligation du port et l'utilisation des EPI;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé); - Exsitence d'EPI mis à disposition des agents d'intervention - Sensibilisation sur le port des EPI - Visites inopinées sur le terrain pour le port des EPI par les CI;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Intervention;Intervention;1;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en en charge de la fonction sécurité dans l'organisation de l'entreprise;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Assurer la sécurité;Assurer la sécurité;1;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en en charge de la fonction sécurité dans l'organisation de l'entreprise;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Bâtiment;Bâtiment;2;;Absence d'extincteur d'incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Tous les sites sont dotés d'extincteurs d'incendie;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tivaoune FH;Entretien des locaux;Entretien des locaux;1;;Accumulation de déchets (prolifération de moustiques, insectes…) ;A;Risque biologique;Environnement immédiat;Paludisme, allergie ;Procédure de gestion des déchetsDéchets (batteries, câbles…) stockés dans aire de stockage et transfert à la DAL pour ventes aux clients ciblésVentes organisées des autres déchets par l'agence suite autorisation de DALEntretein quotidien du site par un prestataire chargé d'évacuer les déchets;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
