SITE;Domaine d'activité;Activité/ Equipement;Type( Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Groupe Electrogène;;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Allergies, intoxicaton, brûlure;Cuve et bac de rétention mis en place au niveau du groupe électrogène ;Preventif;Manuelle;Adapter le bac de rétention (volume et étancheité);Abdourahmane Sall;;31/12/2016;;Soldé;3;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Approvisionnement en matériel et fournitures;1;;Déplacements réguliers sur de longues distances;N;Risque d'accident;Poste de travail;Dommages corporels :; - Respect du code de bonne conduite - Sensibilisation de DAL (séminaire annuel sur la sécurité routière)- sensibilisations régulières : rappel des  règles lors des réunions (briefings);Preventif;Manuelle;Revoir les procédures d'approvisionnement entre Dakar et Zig pour prendre en compte les possibilités offertes par le bâteau;Babacar Diagne;;31/12/2015;;Soldé;2;4;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial;Maintenance et Production  réseau;1;;Insécurité dans la zone;N;Risque d'agression physique;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…); - Certaines zones (zones à risque) sont évitées lors des déplacements - Planification des déplacements terrain  - Respect des consignes de sécurité fournies par les services compétentesEquipes dotées de GPS. - Véhicules en bon état au niveau de Zig - Prise en compte des possibilités offertes par le bâteau pour l'approvisionnement entre Dakar et Zig ;Preventif;Manuelle;;;;;;;3;4;12;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Gérer les stocks;1;;Accumulation de déchets (prolifération de moustiques, insectes…) ;A;Risque biologique;Environnement immédiat;Paludisme, allergie ; - Procédure de gestion des déchets appliquée - Postes défectueux et câbles rangés dans des salles fermées  ;Preventif;Manuelle;désesncombrer le site (vente ou mis en décharge);;;31/12/2015;;Soldé;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Manque d'hygiène dans les toilettes;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Entretien régulier des toilettes;Preventif;Manuelle;Sensibiliser sur l'utilisation des toilettes;;;;;Soldé;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Circulation des chats dans les couloirs;A;Risque biologique;Environnement immédiat;Maladie des griffes de chat (toxoplasmose) , allergies;Ramassage des déchets alimentaires dans les poubelles  à l'intérieur des bâtiments par un prestataire;Preventif;Manuelle;Veiller à ne pas jeter les déchets alimentaires dans les poubelles  à l'intérieur des bâtiments;;;31/12/2015;;Soldé;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Manque d'eau (coupures d'eau fréquentes);A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;;Preventif;Manuelle;Installer des réservoirs d'eau dans le bâtiment  ;Amadou CISSE;;31/12/2015;;Non fait;2;2;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;;Toutes les activités;1;;Manque d'hygiène au niveau des restaurants;A;Risque biologique;Environnement immédiat;Intoxication alimentaire;Visite annuelle du CSHCTpossibilité de passer à OM;Preventif;Manuelle;Visiter régulièrement les restaurants ;;;;;Soldé;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Eaux stagnantes;A;Risque biologique;Environnement immédiat;InfectionsAllergiesIntoxications;;Preventif;Manuelle;Remblayer l'entrée  du CI ;;;31/12/2017;;Soldé;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Infiltration d’eau de pluie  ;A;Risque de court circuit;Environnement immédiat;Brulûre, intoxication;Reprise de l'étancheité du batiment;Preventif;Manuelle;Réparer  les infiltrations d'eau au niveau du batiment du CI de Ziguinchor;;;31/12/2016;;Soldé;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;;;Présence d'animaux (chiens enragés, reptiles, guêpes, scorpions, singes, souris, rats, lézards, geckos, termites etc.);A;Risque biologique;Environnement immédiat;Morsures,envenimations maladies virales;Organisation de journées d'hygiène et utilisation de grézyl;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
