SITE;Domaine d'activité;Activité/ Equipement;Type(Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Véhicules;Véhicules;2;;Absence d'airbag dans les véhicules;A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Systématisation de l'acquisition des véhicules d'exploitation qui disposent d'airbag;Preventif;Manuelle;;;;;;;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Détecteur d'incendie;Détecteur d'incendie;2;;Absence de détecteurs d’incendie ou détecteurs HS ;A;Risque d'incendie;Environnement immédiat;Brûlures;Les salles techniques sont doté de détecteurs d'incendiesUn entretien des détecteurs est mis en œuvre par le sous traitant SODECI;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Absence de formation en secourisme et incendie;A;Risque d'incendie;Poste de travail;Brûlures;Des formations ont été délivrées par DG/SECU sur l'utilisation des extincteurs;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Absence de garde corps, harnais;A;Risque de chute de hauteur;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);EPI mis à disposition des agents d'interventionSensibilisation des agents d'intervention sur l'obligation du port et l'utilisation des EPI;Preventif;Manuelle;;;;;;;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme, (voir Ndoumbé); - Exsitence d'EPI mis à disposition des agents d'intervention - Sensibilisation sur le port des EPI - Visites inopinées sur le terrain pour le port des EPI par les CI;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Prise en en charge de la fonction sécurité dans l'organisation de l'entreprise;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Absence d'extincteur d'incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Tous les sites sont dotés d'extincteurs d'incendie;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Ambiance thermique froide (salles machines, travaux sur le terrain…);A;Risque d'hypothermie;Environnement immédiat;Coup de fraîcheur, engolure, rhumatisme, sécheresse de la peau, rhinite à répétition, malaise, syncope;Agents ne restent pas longtemps dans la salle technique pour les besoins d'interventionsDéménagement des agents installés dans les salles équipements;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Boitiers électriques non couverts ;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Signalisation des dysfonctionnements dans GEDAL et prise en charge des besoins exprimés par les CR par la DAL;Preventif;automatique;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Groupe électrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Risque de nuisance sonore;Poste de travail;Inconfort;Les groupes électrogènes sont capotés donc insonorisés. Repect normes CEExigence réglementaire 65db à proximité des habitations. 85db à 1m du groupe;Preventif;Manuelle;;;;;;;3;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Climatiseur;Climatiseur;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise;Contrat d'entretien et de maintenance de la climatisation avec Sahel Trading, ;Preventif;Manuelle;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Intervention;Intervention;1;;Conduite imprudente (sans port de ceinture, non respect limitation vitesse, conduite la nuit etc…);A;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Formation et sensibilisation sur la sécurité routière et sur les règles de conduite par DG/SECUConduite autorisée des véhicules par le personnel habilité;Preventif;Manuelle;;;;;;;2;3;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor MUX;Bâtiment;Bâtiment;2;;Court circuit/incendie;A;Risque d'incendie;Environnement immédiat;Brûlures;Maintenance préventive et curative des installations électriques par des prestataires;Preventif;Manuelle;;;;;;;1;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
