Site;Domaine;Activité/Equipement;Type (Activité ou equipement ) ;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Dat de début;Date fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Almadies;Commercial;Groupes Electrogène;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;-le groupe est placé dans un local dédié- Vérification par le RCG du respect des normes de livraison par le fournisseur - Nettoiement du site en cas de déversement du gasoil lors du remplissage des cuves;Préventif;Manuelle;;;;;;;4;2;8;1
Agence Almadies;Commercial;Groupes Electrogène;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;;Préventif;Manuelle;Afficher la procédure de dépotage au niveau de la cuve. ;Ndeye Marième Fall;;30-06-2015;;Soldé;4;2;8;1
Agence Almadies;Commercial;Groupes Electrogène;2;;Dégagement de NOx SO2 particules fines (GE);Normal;Pollution de l'air;Air;;Mise en place d'un entretien du GELes groupes sont dans des locaux dédiésElevation et orientation des tuyaux d'échappement;Préventif;Manuelle;;;;;;;4;2;8;1
Agence Almadies;Commercial;ventes des produits;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers et emballages;Détectif;Manuelle;;;;;;;3;2;6;1
Agence Almadies;Commercial;ventes des produits;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée des déchets et matériels hors usage ;Ndeye Marième Fall;;15-06-2015;;Soldé;3;2;6;1
Agence Almadies;Commercial;ventes des produits;1;;Papiers, ticket GFA;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers;Détectif;Manuelle;;;;;;;3;2;6;1
Agence Almadies;Commercial;ventes des produits;1;;Utilisation de papier;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;utilisation rationnelle du papier en fonction des besoins.Sensibilisation réguliere des agents.;Détectif;Manuelle;;;;;;;3;2;6;1
Agence Almadies;Commercial;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Alimentation des cuves du groupe électrogène par le fournisseur tenu de respecter les termes du contrat (utilisation d'équipements conformes) - Présence du RCG lors de la livraison du carburant par le fournisseur;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Almadies;Commercial;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager un bac de retention pour éviter les déversement de gasoil de la cuve du GE ;Ndeye Marième Fall;;31-12-2015;;Soldé;2;2;4;2
Agence Almadies;Commercial;Gestion du stock;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Entretien quotidien des locaux par un prestataire chargé d'évacuer les déchets papiers et emballagesExistence d'une procédures de gestion des dechetsExistence de filière de recyclage;Préventif;Manuelle;;;;;;;4;2;8;1
Agence Almadies;Commercial;Gestion du stock;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Demander un classement correct des journées comptables de Cheikh Anta qui sont déposées au niveau  de la terrasse de Almadies;Ndeye Marième Fall;;15-06-2015;;Non fait;4;2;8;1
Agence Almadies;Intervention;Cuves;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Alimentation des cuves du groupe électrogène par le fournisseur tenu de respecter les termes du contrat (utilisation d'équipements conformes) - Présence du RCG lors de la livraison du carburant par le fournisseur-procédure et mode opératoire sur le dépotage du carburant;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Almadies;Commercial;Gestion de la logistique;1;;Matériel et mobiliers à réformer laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;Ndeye Marième Fall;;15-06-2015;;Soldé;4;2;8;1
Agence Almadies;Commercial;ventes des produits;1;;Sonorisation lors des animations;Normal;Nuisance sonore;Etres humains, Faune;;Prise en compte du voisinage lors des  actions d'animations (limitation du volume)Les animations se font aux heures d'ouverture, Pas la nuit;Détectif;Manuelle;;;;;;;3;1;3;1
Agence Almadies;Commercial;Climatiseurs;2;;Bruit des climatiseurs;Normal;Nuisance sonore;Etres humains, Faune;; - climatiseurs récents avec un niveau de bruit faibleSignalisation des défectuosités à prendre en charge par le prestataire chargé d'assurer la maintenance.;Préventif;Manuelle;;;;;;;3;1;3;1
Agence Almadies;Commercial;Groupes Electrogène(accueil);2;;Bruit du groupe électrogène;Normal;Nuisance sonore;Etres humains, Faune;; -groupe éléctrigéne de taille réduite- Isolement du groupe électrogene dans un abris - Maintenance préventive par le fournisseur et signalisation de tout dysfonctionnement pour la maintenance curative par le fournisseur;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Almadies;Commercial;Véhicules;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;l'agence n'a pas de vehicule dédié.;Préventif;Manuelle;;;;;;;1;2;2;3
Agence Almadies;Commercial;mobiliers;2;;Encombrement par mobilier hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Procédure de réforme et vente organisée des mobiliers réformés par l'agence suite autorisation de la DAL;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Almadies;Commercial;Imprimante;2;;cartouche d'imprimante;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Les cartouches utlisées sont envoyées à DALExistence d'une procédure de gestion des dechets et de filières de recyclage pilotées par DAL;Détectif;Manuelle;;;;;;;1;2;2;3
Agence Almadies;Commercial;Photocopieuse;2;;cartouche de photocopieuse;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Les cartouches utlisées sont envoyées à DALExistence d'une procédure de gestion des dechets et de filières de recyclage pilotées par DAL;Détectif;Manuelle;;;;;;;1;2;2;3
Agence Almadies;Commercial;gerer la comptabilité et les encaissements;1;;Utilisation de papier;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;utilisation rationnelle du papier en fonction des besoins.Sensibilisation réguliere des agents.;Détectif;Manuelle;;;;;;;2;1;2;2
Agence Almadies;Commercial;Toutes les activités;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;;Dépose des équipements non fonctionnels et réformes des équipements après la durée de vieMaintenance préventive des équipements par le CIUtilisation de l'énergie solaire dans certains sites;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Almadies;Commercial;Groupes Electrogène;2;;Vibrations du groupe électrogène;Normal;Risque sur la  santé des Hommes;Etres humains;;Le groupe est situé dans un local dédiéLes nouveaux groupes sont capotés et insonorisésMaintenance curative avec la reprise des fixations du GE;Détectif;Manuelle;;;;;;;1;2;2;3
Agence Arcades;Commercial;Toutes les activités;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;;Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des vigiles à faire la ronde après les heures de descente pour éteindre les sources d'énergie et signaler les surconsommations en cas d'oubli;Préventif;Manuelle;;;;;;;2;1;2;2
Agence Arcades;Commercial;Matériel informatique;2;;Rejets de consommables informatiques;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets (déchets consommables informatiques retournés au CMD avant nouvelle livraison);Détectif;Manuelle;;;;;;;1;1;1;3
Agence Arcades;Commercial;Intervention;1;;Chute de câbles;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL pour traitement ou transfert au magasin de Rufisque;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Assister les utilisateurs, Assurer le service après vente, le recouvrement et gérer les réclamations;1;;Encombrement des sites par du matériel déposé ou hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant env oi vers Médina pour transfert au magasin de Rufisque;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Mobilier;2;;Matériel et mobiliers réformés laissé sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant env oi vers Médina pour vente aux agents ou aux clients ciblés et ou transfert au magasin de Rufisque;Préventif;Manuelle;;;;;;;3;1;3;1
Agence Arcades;Commercial;Groupe électrogène;1;;Bruit du groupe électrogène;Normal;Nuisance sonore;Etres humains, Faune;;GE installé dans la cour loin des bureaux occupés par les agents du siteGE capoté;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Groupe électrogène;1;;Déversement, fuite  de gasoil;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Livraison du carburant pour l'alimentation des GE par la DALSupervision par le vigile;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Groupe électrogène;1;;Cartouche, huile morte laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Procédure des gestion des déchets, récupération des cartouches par le fournisseur, entretien conduit par le vigile, maintenance du GE par un prestataire;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Toutes les activités;1;;Forte consommation de papier;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des agents à partager les documents par mail au lieu de les imprimer;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Groupe électrogène;1;;Dégagement de NOx SO2 particules fines (GE);Normal;Pollution de l'air;Air;Troubles respiratoires;- Signalistion à la DAL pour réparations - Maintenance Préventive du GE - Proposition réforme si nécessaire;Préventif;Manuelle;;;;;;;4;1;4;1
Agence Arcades;Commercial;Accueillir physiquement les clients;1;;Rejets Supports Cartes Sims et emballages;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Corbeilles au niveau des positions front pour les CC - Corbeilles au sein de l'espace accueil- Favorisation des ventes par seedo et par Orange Money;Préventif;Manuelle;;;;;;;2;2;4;2
Agence Arcades;Commercial;Toutes les activités;1;;Forte consommation d'eau;Normal;Surconsommation d'eau;Ressources naturelles;;Communication et sensiblisation du personnel sur les gestes vertsDemande au vigile de fermer la vanne en cas de fuite dans un endroit inaccessible hors des heures de bureauRonde des vigiles pour s'assurer que tous les robinets sont fermés et les clims après les heures de bureau;Préventif;Manuelle;;;;;;;2;1;2;2
Agence Arcades;Commercial;Accueillir physiquement les clients;1;;Animation Commerciale;Normal;Nuisance sonore;Etres humains, Faune;;Animation limitée à l'intérieur de l'Agence;Détectif;Manuelle;;;;;;;2;2;4;2
Agence Cheikh anta;Commercial;Commercial;1;;Animation musicale;Normal;Nuisance sonore;Etres humains, Faune;;Fréquence mensuelleles animations se font aux heures d'ouverture, jamais la nuit ;Préventif;Manuelle;;;;;;;3;3;9;1
Agence Cheikh anta;Commercial;Commercial;1;;Animation musicale;Normal;Nuisance sonore;Etres humains, Faune;;;Préventif;Manuelle;prendre en compte le voisinage lors des animations (hopital, écoles etc)limitation du volume sonore;Alassane Sene;;30/08/2017;;Non fait;3;3;9;1
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Equipements déposés laissés sur le site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL;Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Equipements déposés laissés sur le site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;Alassane Sene;;30/08/2017;;Non fait;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Encombrement du sites par du matériel déposé ou hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL pour leur vente aux clients ciblés;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Encombrement du sites par du matériel déposé ou hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;Alassane Sene;;30/08/2017;;Non fait;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Matériel et mobiliers réformés laissé sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant leur récupération par la DAL pour leur vente aux clients ciblés;Préventif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Matériel et mobiliers réformés laissé sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;Alassane Sene;;30/08/2017;;Non fait;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Rejets de consommables informatiques;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Application de la procédure de gestion des déchets (déchets consommables informatiques retournés à la DSI pour échange);Détectif;Manuelle;;;;;;;2;3;6;2
Agence Cheikh anta;Intervention et exploitation;Intervention, Supervision & pilotage du réseau international (CSM);1;;Cartons et emballage laissés sur site chez les clients;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Contrôle opérationnel et suivi des chantiers par le CI après les travaux effectués par les prestataires et fournisseurs;Préventif;Manuelle;;;;;;;2;3;6;2
