SITE;Domaine d'activité;Activité/ Equipement;Type (Activité ou equipement ) ;Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de début;Date de fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Ziguinchor;Commercial;Batiment ;2;;Vitres cassées ;A;Risque de chute d'objet lourd;Environnement immédiat;Traumatisme cranien, plaie ouverte;Remplacement des vitres cassées de l'accueil et du bâtiment technique ;Préventif;Manuelle;;;;;;;1;4;4;1
Agence Ziguinchor;Commercial;Animer les actions commerciales terrain;1;;Voisinage immédiat de l'antenne (surtout en cas de vent fort);A;Risque de chute d'objet lourd;Environnement immédiat;Traumatisme cranien, plaie ouverte;Maintenance des pylônes et de l'antenne par le CI;Préventif;Manuelle;;;;;;;1;4;4;1
Agence Ziguinchor;Commercial;Batiment ;2;;Fissures dans le mur et/ou au plafond;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Reprise du mur de clôture du logement du DA;Correctif;Manuelle;;;;;;;2;2;4;1
Agence Ziguinchor;Commercial;Batiment ;2;;Fissures dans le mur et/ou au plafond;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Réhabilitation du logement du DA;Correctif;Manuelle;;;;;;;2;2;4;1
Agence Ziguinchor;Commercial;Batiment ;2;;Humidité du mur et/ou du plafond ;A;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien);Réhabilitation du logement du DA;Correctif;Manuelle;;;;;;;2;2;4;1
Agence Ziguinchor;Commercial;Batiment ;2;;Installation d'équipements sur des toitures;N;Risque de dégradation du bâtiment;Environnement immédiat;Polytraumatisme (fracture, traumatisme cranien); - Respecter les normes d'intallation de BTS- Activité confiée à un prestataire;Préventif;Manuelle;;;;;;;1;2;2;3
Agence Ziguinchor;Commercial;Batiment ;2;;Ecoulement de l'eau de climatisation;A;Risque de dégradation du bâtiment;Environnement immédiat;Allergies, mycoses, champignons; - Systéme de drainage des eaux de climatisation - Contrat de maintenance des cliamtiseurs : entretien régulier des climatiseurs et du circuit d'évacuation des eaux;Préventif;Manuelle;;;;;;;1;2;2;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Entretien des climatiseurs aux heures de travail (poussières et humidité);N;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);Dépoussiérage des climatiseurs en dehors des bureaux;Préventif;Manuelle;;;;;;;1;2;2;1
Agence Ziguinchor;Commercial;Groupe Electrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;procédure d'approvisionnement en carburant des GELes dépotages sont supervisés par les agents du CI;Préventif;Manuelle;;;;;;;2;2;4;1
Agence Ziguinchor;Commercial;Batiment ;2;;Inhalation de poussières;N;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite; - Mise à disposition de masques aux agents du  CI - Port des EPI exigé aux agents du nettoiement - Nettoyage régulier des locaux;Préventif;Manuelle;;;;;;;3;2;6;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Proximité du poste courant haute tension situé dans la cour arrière du bâtiment technique abritant le bureau du DA;N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Sécurisation des accès au poste courant, seuls agents habilités (qui disposent de titres) peuvent accéder;Préventif;Manuelle;;;;;;;1;4;4;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Prises non couvertes;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Réparation de la prise électrique non couverte ;Préventif;Manuelle;;;;;;;1;3;3;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Boitiers électriques non couverts ;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Réparation du boîtier électrique non couvert ;Préventif;Manuelle;;;;;;;1;3;3;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Appareils électriques sous tension permanente;N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Sensibiliser sur les règles de sécuritéIsolement des appareils (exemple : disjoncteur, départ climatiseur, prises électriques …;Préventif;Manuelle;;;;;;;1;3;3;2
Agence Ziguinchor;Commercial;Toutes les activités;1;;Appareils électriques sous tension permanente;N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Intégration des sous traitants et prestataires aux séances de sensibilisation QSE;Préventif;Manuelle;;;;;;;1;3;3;2
Agence Ziguinchor;Commercial;Intervention / maintenance;1;;Escabeau défectueux ou non respect des consignes de sécurité;A;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Note de sensibilisation sur le travail en hauteurLes équipes de maintenance AVCI et SODECI sont équipés d'escabeau et d'EPIDiffusion par DG SECU des consignes de sécurité aux sous traitants AVCI et SODECI lors des opérations de maintenance.;Préventif;Manuelle;;;;;;;1;3;3;2
