Site;Domaine;Activité/Equipement;Type (Activite ou equipement);Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date debut;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Datacenter;Technique;Batiment;2;;Blocage des issues de secours;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;Issues de secours sont dégagées;Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Batiment;2;;Couvercle regards défectueux;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Couvercles fonctionnels et identifiés avec la peinture ;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Toutes les activités;1;;Fauteuis défectueux ou inadaptés;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Fournitures de nouveaux fauteuils;Préventif;Manuelle;;;;;;;1;2;2;1
Datacenter;Technique;Toutes les activités;1;;Insécurité dans la zone;N;Risque d'agression physique;Poste de travail;Traumatisme;"Ronde de sécurité effectuée par les agents de sécurité

Intégration de la ronde de sécurité dans les cahiers de charge";Préventif;Manuelle;;;;;;;1;3;3;2
Datacenter;Technique;Installations électriques;1;;Prises fixées au sol (infiltration d'eau de nettoyage);A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Installation électriques en état;Préventif;Manuelle;;;;;;;1;3;3;2
Datacenter;Technique;Toutes les activités;1;;Poste courant moyenne tension;N;Risque d'incendie;Environnement immédiat;Brûlures;""" - Accès réglementé au local MT
 - Panneau """"interdit d'entrée";Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Cuves;2;;Stockage de combustibles : Gasoil, fioul;N;Risque d'incendie;Environnement immédiat;Brûlures;"""Mise en place d'un système d'extinction automatique d'incendie à évaporation d'eau
Installation de cuves à double paroi avec liquide de détection automatique de fuites au contact du gazoil entre les 2 parois";Préventif;Manuelle;;;;;;;1;4;4;3
Datacenter;Technique;Toutes les activités;1;;Gêne causée par les rayons solaires (projection des rayons solaires sur les écrans);N;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;L'essentiel des équipements micro-informatiques acquis depuis quelques années comportent des écrans anti-reflet;Préventif;Manuelle;Etudier la mise en place de films sur les vitres du local Poste de contrôle Sécurité;latsouck.diouf@orange-sonatel.com;;30/09/2017;;Non échu;1;1;1;3
Datacenter;Technique;Toutes les activités;1;;Position assise constante;N;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;Ordinateurs portables avec filtres intégrés;Préventif;Manuelle;;;;;;;1;1;1;3
Datacenter;Technique;Maintenance des équipements;1;;Absence de port d'EPI;A;Risque d'accident;Poste de travail;Traumatisme;Instructions données aux agents de sécurité sur le port d'EPI par les prestataires : Casques, chaussures de sécurité et les masques sont fournis par Sonatel au besoin;Préventif;Manuelle;;;;;;;1;3;3;3
Datacenter;Technique;Batiment;2;;Mauvaise visibilité des marches;A;Risque d'accident;Poste de travail;Traumatisme;Construction du site sur un niveau avec une terrasse accessible;Préventif;Manuelle;;;;;;;1;2;2;2
Datacenter;Technique;Toutes les activités;1;;Eaux stagnantes;A;Risque biologique;Environnement immédiat;Paludisme, allergie;"Mise en place d'un système de canalisation pour le drainage des eaux
Site goudonnée avec drainage";Préventif;Manuelle;;;;;;;1;2;2;2
