Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque ;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Foyer Sacré-Cœur ;Toutes les activités;Toutes les activités;1;;Forte consommation d'énergie;A;Surconsommation d'énergie;;;"Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des vigiles à faire la ronde après les heures de descente pour éteindre les sources d'énergie et signaler les surconsommations en cas d'oubli
projet de certification ISO 50001 en cours";Préventif;Manuelle;;;;;;;2;1;2;2
Foyer Sacré-Cœur ;Matériel informatique;Matériel informatique;2;;Rejets de consommables informatiques;N;Pollution des sols, sous sols et du bâtiment;;;Application de la procédure de gestion des déchets (déchets consommables informatiques retournés au CMD avant nouvelle livraison);Préventif;Manuelle;;;;;;;1;1;1;3
Foyer Sacré-Cœur ;Mobilier ;Toutes les activités;1;;Production de DIB;N;Pollution des sols, sous sols et du bâtiment;;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant enlevement par le prestataire de la municipalité;Préventif;Manuelle;;;;;;;2;1;2;1
Foyer Sacré-Cœur ;Toutes les activités;Toutes les activités;1;;dechets abandonnés sur le site;N;Pollution des sols, sous sols et du bâtiment;;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant enlevement par le prestataire de la municipalité;Préventif;Manuelle;organiser un desencombrement (+desherbage) du site et demander aux prestaires  de ne pas abandonner de dechets au niveau du GE;mamecheikh.mbaye@orange-sonatel.com;;31/05/2018;;Non échu;3;2;6;3
Foyer Sacré-Cœur ;Mobilier ;Mobilier ;2;;Matériel et mobiliers réformés laissé sur site;A;Pollution des sols, sous sols et du bâtiment;;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant env oi vers Médina pour vente aux agents ou aux clients ciblés et ou transfert au magasin de Rufisque;Préventif;Manuelle;organiser un desencombrement (+desherbage) du site et demander aux prestaires  de ne pas abandonner de dechets au niveau du GE;mamecheikh.mbaye@orange-sonatel.com;;31/05/2018;;Non échu;3;1;3;1
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Nuisance sonore;;;GE capoté et entretenu;Préventif;Manuelle;;;;;;;2;1;2;2
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Déversement, fuite  de gasoil;A;Pollution des sols, sous sols et du bâtiment;;;Livraison du carburant pour l'alimentation des GE par la DALSupervision par le vigile;Préventif;Manuelle;;;;;;;1;2;2;2
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Cartouche, huile morte laissés sur site;A;Pollution des sols, sous sols et du bâtiment;;;Procédure des gestion des déchets, récupération des cartouches par le fournisseur, entretien conduit par le vigile, maintenance du GE par un prestataire;Préventif;Manuelle;organiser un desencombrement (+desherbage) du site et demander aux prestaires  de ne pas abandonner de dechets au niveau du GE;mamecheikh.mbaye@orange-sonatel.com;;31/05/2018;;Non échu;2;2;4;2
Foyer Sacré-Cœur ;Toutes les activités;Toutes les activités;1;;Forte consommation de papier;N;Pollution des sols, sous sols et du bâtiment;;;Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des agents à partager les documents par mail au lieu de les imprimer;Préventif;Manuelle;;;;;;;2;1;2;2
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Dégagement de NOX SO2 particules fines;N;Risque sur la  santé des Hommes;;;GE  entretenu et réparé en cas de disfonctionnement ;Préventif;Manuelle;;;;;;;1;3;3;2
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Dégagement de CO2 du groupe électrogène;N;Pollution de l'air;;;GE  entretenu et réparé en cas de disfonctionnement ;Préventif;Manuelle;;;;;;;1;1;1;2
Foyer Sacré-Cœur ;groupe éléctrogène;Groupe électrogène;2;;Dégagement de fumée du groupe électrogène;A;Risque sur la  santé des Hommes;;;;;;;;;;;;1;2;2;2
Foyer Sacré-Cœur ;Salle de sport;Salle de sport;2;;Bruit de la salle de sport (sledge Hammer);N;Nuisance sonore;;;;;;Supprimer le Sledge Hammer (pneu +massue) du programme de la salle de sport;Alassane.TACKO@orange-sonatel.com;;30/04/2018;;soldé;3;2;6;1
Foyer Sacré-Cœur ;environnment immediat;Salle de sport;2;;parking anarchique des clients de la salle de sport;A;Risque sur la  santé des Hommes;;;Les vigiles orientent les clients pour éviter le stationnement anarchique;Préventif;Manuelle;;;;;;;2;1;2;2
Foyer Sacré-Cœur ;Toutes les activités;Toutes les activités;1;;Forte consommation d'eau;A;Surconsommation d'eau;;;"Communication et sensiblisation du personnel sur les gestes verts.
Changement des robinets par des modeles plus fiables.";Préventif;Manuelle;;;;;;;1;1;1;2
