Site;Domaine;Activité/Equipement;Type activité ou equipement;Propriètaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Email du porteur;Date début;Date fin;Avancement plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Saint-Louis;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Agence Saint-Louis;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Agence Saint-Louis;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Bakel FH;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Bakel FH;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Bakel FH;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Bambey;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Bambey;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Bambey;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Cambérène;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Cambérène;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Centre de Stockage de Rufisque (CSR);Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Centre de Stockage de Rufisque (CSR);Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Centre de Stockage de Rufisque (CSR);Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Dakar RP;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Dakar RP;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Dakar RP;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Darou mousty;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Darou mousty;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Darou mousty;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Datacenter;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Datacenter;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Datacenter;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Diourbel;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Diourbel;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Diourbel;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
