SITE;Domaine d'activité;Activité/ Equipement;Type;Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Touba;Salle batterie;Salles Batteries;2;;Contact d'objets métalliques (montres, bracelets, colliers .) avec les bornes positive et négative de la batterie pendant la manipulation;A;Risque d'électrisation/électrocution;Environnement immediat;Brûlures;"intervention dans les salles batteries réservée aux personnes habilitées

Les agents de nettoiement sont accompagnés des TI habilités lors de l'entretien des salles

Accès limités dans les salles aux techniciens habilités

Mise en place de cache de protection aux bornes avec les bornes positive et négative de la batterie";Préventif;Manuelle;;;;;;;1;4;4;2
Agence Touba;Salle batterie;Salles Batteries;2;;Travaux par point chaud;A;Risque d'explosion;Environnement immediat;Brûlures;"Intervention dans les salles batteries réservée aux personnes habilitées
Affichage des consignes de sécurité  à l'entrée des salles batteries";Préventif;Manuelle;;;;;;;1;4;4;2
Agence Touba;Salle batterie;Salles Batteries;2;;Etincelles issues de travaux de soudures;A;Risque d'explosion;Environnement immediat;Brûlures;"Intervention dans les salles batteries réservée aux personnes habilitées
Affichage des consignes de sécurité  à l'entrée des salles batteries";Préventif;Manuelle;;;;;;;1;4;4;2
Agence Touba;Salle batterie;Salles Batteries;2;;Non respect des normes d'aménagement des salles batteries;A;Risque d'explosion;Environnement immediat;Brûlures;Les travaux dans les salles batteries font l'objet de PV de recette techniques des batteries avec la mention éventuelle des réserves;Préventif;Manuelle;Rédiger une checklist sur les normes d'aménagement des salles batteries ;pathefary.mbaye@orange-sonatel.com;;31/07/2018;;Non échu;2;4;8;2
Agence Touba;Salle batterie;Salles Batteries;2;;Sol mouillé au niveau des salles batteries à plomb ouvert (possibilité de glissade);A;Risque de chute de plain pied;Environnement immediat;Brûlures;"Aménagement des carreaux anti dérapants au niveau des salles batteries

Déploiement de chevalet indiquant le risque de glissade lors du nettoiement";Préventif;Manuelle;Procéder à l'affichage des consignes de sécurité spécifique au niveau des salles batteries ;latsouck.diouf@orange-sonatel.com;;31/07/2018;;Non échu;1;2;2;2
Agence Touba;Salle batterie;Salles Batteries;2;;Présence de fils nus, câbles dénudés, prises mal fixées;A;Risque d'explosion;Environnement immediat;Brûlures;Les agents chargés de la maintenance ont l'obligation de remonter et de corriger les cas de fils nus, cables dénudés, prises mal fixées lors des opérations de maintenance des salles batteries;Préventif;Manuelle;;;;;;;2;4;8;2
Agence Touba;Salle batterie;Salles Batteries;2;;Absence d'aération (présence d'hydrogène dans l'air);A;Risque d'explosion;Environnement immediat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air";Préventif;Manuelle;Equiper progressivement toutes les salles batteries de détecteurs d'hydrogène  ;latsouck.diouf@orange-sonatel.com;;30/08/2019;;Non échu;1;4;4;3
Agence Touba;Salle batterie;Salles Batteries;2;;Etincelles issues des prises électriques et interrupteurs;A;Risque d'explosion;Environnement immediat;Brûlures;;;;Faire un état des lieux des salles batteries en vue d'installer des prises électriques et interrupteurs atex;pathefary.mbaye@orange-sonatel.com;;31/07/2018;;Non échu;1;4;4;2
Agence Touba;Salle batterie;Salles Batteries;2;;Absence ou défaillance du système de détection d'hydrogène;A;Risque d'explosion;Environnement immediat;Brûlures;Existence d'un contrat de maintenance avec SODECI et AVCI intégrant la maintenance du système de détection d'hydrogène;Préventif;Manuelle;;;;;;;2;4;8;2
Agence Touba;Salle batterie;Salles Batteries;2;;Défaillance du système de ventilation;A;Risque d'explosion;Environnement immediat;Brûlures;Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air avec des actions correctives au besoin;Préventif;Manuelle;;;;;;;1;4;4;2
