Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Almadies;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;2
Agence Arcades;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Bignona;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Cheikh anta;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Fatick;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Kaffrine;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Kaolack;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Kédougou;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Kolda;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Agence Louga;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
