Site;Domaine activité;Activité/Equipement;Type;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Immeuble SABLUX;Bâtiment;Bâtiment;2;;carrelage glissant;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);"
signalisation sol glissant lors du nettoiement par le prestaire
Existence d'un outil de signalisation des dysfonctionnements à la DAL ( GEDAL) suivi de la prise en charge par le chef d'établissement";Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;marche non signalée (RDC );A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);;;;signaler la marche et le risque de chute de plain pied;moustapha.sylla@orange-sonatel.com;;31/05/2018;;Non échu;3;3;9;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Gêne causée par les rayons solaires );N;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;Pose de Stores ;correctif;Manuelle;poser des films solaires au niveau des vitres exposées;CheikhTidiane_DIOP@orange-sonatel.com;;31/05/2018;;Non échu;4;1;4;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Gêne causée par les rayons solaires );N;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise, syncope;Pose de Stores ;correctif;Manuelle;poser des films solaires au niveau des vitres exposées;CheikhTidiane_DIOP@orange-sonatel.com;;31/05/2018;;Non échu;4;2;8;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;encombrement du parking des véhicules par le voisinage;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);Diffusion de note sur les régles de parking devant les sites de Sonatel ;Préventif;Manuelle;Aménagement et traçage des zones de parking;CheikhTidiane_DIOP@orange-sonatel.com;;30/04/2018;;en cours;3;2;6;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Accumulation de déchets ;A;Risque biologique;Environnement immédiat;Paludisme, allergie;Existence d'un outil de signalisation des dysfonctionnements à la DAL ( GEDAL) suivi de la prise en charge par le chef d'établissementGuide des déchets diffusé par DAL/Fary Nam;Préventif;Manuelle;;;;;;;3;2;6;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Manque d'eau (coupures d'eau fréquentes);A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;Existence d'un outil de signalisation des dysfonctionnements à la DAL ( GEDAL) suivi de la prise en charge par le chef d'établissementExistence de deux réservoirs et d'une Pompe et dispositif pressionneur installés au rez de chaussée dans une salle sécuri;Préventif;Manuelle;Mise en place d'un réservoir supplementaire pour augmenter la capacité de dstockage d'eau su site;amadou.cisse@orange-sonatel.com;;31/03/2018;;en cours;4;2;8;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Accumulation de déchets et sable à l'entrée du site (chantier);A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;désensablement demandé par le Chef d'ets à youssou ba DAL;Préventif;Manuelle;;;;;;;3;2;6;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Déchets (huiles, filtres);N;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique, paludisme;Entretien des GE par le prestataireExistence de la procédure de gestion des déchetssensibilisation et formation des prestataires fournissant le gasoil au GE sur les régles à respecter lors de la maintenance/dépannage du GE;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Utilisation de produits d'entretien toxiques (acide, eau de javel, pâte à cafard, désodorisant);N;Risque biologique;Poste de travail;Allergies, intoxication, brûlure;Existence de clauses contractuelles d'entretien du siteRémontées systématiques du non port des EPI lors de toutes les évaluations du prestatairePort d'EPI par le personnel d'entretienDiffusion de FDS (Fiches de Sécurité) par DMI et DGSecu;Préventif;Manuelle;;;;;;;2;2;4;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Etanchéité des murs (humidité des bureau);A;Risque biologique;Poste de travail;Allergies, mycoses, champignons);survey effectué mur des espaces concernés repeints;Préventif;Manuelle;;;;;;;3;2;6;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;absence de locaux dédiés aux agents de nettoiement et agents de sécurité;A;Risque biologique;Environnement immédiat;Allergies, intoxicaton, brûlure;armoire installée au  4ème pour les vigiles ;Préventif;Manuelle;mettre une armoire à chaque étage pour les vigiles et aménager une pour le personnele de nettoiement ;souleymane.samate@orange-sonatel.com;;30/04/2018;;Non échu;4;2;8;3
Immeuble SABLUX;cuve;Cuve;2;;Fuite de gazoil (dépotage);A;Risque d'incendie;Environnement immédiat;Brûlures;existence de bac pour la cuve du GEinstallation de signalétique;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;sensibilisation et formation des prestataires fournissant le gasoil au GE sur les régles à respecter lors de la maintenance/dépannage du GE;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;imprimantes;imprimantes;2;;Manipulation de cartouches d'encre des  imprimantes;N;Risque chimique;Poste de travail;Troubles respiratoires;déplacement des imprimantes vers des salles différentes des positions de travail régulièrement occupées;Préventif;Manuelle;;;;;;;1;2;2;3
Immeuble SABLUX;véhicules;Véhicules;2;;Déplacements fréquents (en véhicule ou à pied);N;Risque d'accident;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);Diffusion de notes de sensibilisation sur la conduite automobile;Préventif;Manuelle;;;;;;;2;4;8;2
Immeuble SABLUX;Commercial;Bâtiment;2;;Absence de simulation d'évacuation des sites en cas d'incendie;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;;;;Réaliser un test d'évacuation au niveau de l'immeuble SABLUX;latsouck.diouf@orange-sonatel.com;;31/05/2018;;Non échu;4;4;16;3
Immeuble SABLUX;Commercial;Bâtiment;2;;Absence de plan d'évacuation des sites en cas de sinistre;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;;Préventif;Manuelle;réaliser et afficher le plan d'évacuation du site SABLUX;latsouck.diouf@orange-sonatel.com;;31/05/2018;;Non échu;4;4;16;3
Immeuble SABLUX;Commercial;Bâtiment;2;;Absence d'issue de secours;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;;Préventif;Manuelle;verifier avec DG Secu l'obligation d'installation une issue de secours sur le site en tenant compte de la hauteur et de la superficie du bâtiment;moustapha.sylla@orange-sonatel.com;;31/03/2018;;Non échu;3;4;12;3
Immeuble SABLUX;Commercial;ascenseur;2;;Ascenseurs souvent en panne;A;Risque d'accident;Environnement immédiat;Asphixie, syncope;maintenance régulière des ascenseurs par le prestataire ;Préventif;Manuelle;etudier la possibilité de d'installer un second ascenseur;CSTall@orange-sonatel.com;;31/12/2018;;Non échu;4;2;8;3
Immeuble SABLUX;Fauteuil;Bâtiment;2;;absence d'éviers dans les cuisines de l'immeuble;N;Risque biologique;Environnement immédiat;Maladies cardio vasculaires, maladies métabolliques (diabète, obésité);restaurants acceptant OM aux alentours du site (restau market, ndadjé);Préventif;Manuelle;demander au bailleur d'installer des eviers dans les cuisines ;moustapha.sylla@orange-sonatel.com;;31/12/2018;;Non échu;4;2;8;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;bureau sans ouverture sur l’extérieur;N;Risque biologique;Poste de travail;Allergies, mycoses, champignons, ;;;;etudier la possibilité de réaliser des ouvertures dans les bureaux concernés ;CheikhTidiane_DIOP@orange-sonatel.com;;31/12/2018;;Non échu;4;2;8;2
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Absence de rampe escaliers;A;Risque de chute de plain pied;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);;Préventif;Manuelle;installer  des rampes d'escaliers;moustapha.sylla@orange-sonatel.com;;31/12/2018;;Non échu;4;3;12;3
Immeuble SABLUX;Intervention;Bâtiment;2;;Ecombrement du sol par les câbles;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);;Préventif;Manuelle;diffuser une note de sensibilitsation sur l'aménagement du poste de travail;ndoumbe.harris@orange-sonatel.com;;30/04/2018;;Non échu;2;3;6;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Carrelage défectueux au niveau des escaliers;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);;Préventif;Manuelle;demander le remplacement  des carreauxs défectueux au bailleur;moustapha.sylla@orange-sonatel.com;;30/04/2018;;Non échu;3;3;9;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Fauteuil inadapté;A;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse), douleurs musculaires;;;;Recenser le mobilier inadapté ou défectueux de SABLUX pour changement ou réparation par la DAL;moustapha.sylla@orange-sonatel.com;;31/03/2018;;Non échu;3;3;9;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Climatisation défectueuse;A;Risque de coup de chaleur;Poste de travail;Maux de tête, inconfort, anoxie, malaise, syncope;"Existence d'un groupe électrogène prenant en charge la climatisation
Maintenance régulière du Groupe Electrogène par le prestataire Entretien des climatiseurs ";Préventif;Manuelle;;;;;;;2;2;4;3
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Fumée du groupe électrogène;N;Risque de nuisance olfactive;Environnement immédiat;Gènes, inconfort;travaux de rallonge de la cheminée effectifs;Préventif;Manuelle;;;;;;;1;1;1;3
Immeuble SABLUX;Bâtiment;Bâtiment;2;;Mauvaise odeur des toilettes;A;Risque de nuisance olfactive;Environnement immédiat;Inconfort;interdiction d'utiliser les toilettes proches des positions de travail ;Préventif;Manuelle;;;;;;;1;1;1;3
Immeuble SABLUX;imprimantes;imprimantes;2;;Bruit des imprimantes;N;Risque de nuisance sonore;Poste de travail;Inconfort;maintenance effectuée par le prestataire;Préventif;Manuelle;;;;;;;1;1;1;3
