Site;Domaine activité;Activité/Equipement;Type ;Propriétaire;Aspect;Mode Fonctionnement;Risque (impact);Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Immeuble SABLUX;Toutes les activités;Toutes les activités;1;;Forte consommation d'énergie;A;Surconsommation d'énergie;ressources naturelles;;"Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des vigiles à faire la ronde après les heures de descente pour éteindre les sources d'énergie et signaler les surconsommations en cas d'oubli
projet de certification ISO 50001 en cours";Préventif;Manuelle;;;;;;;2;1;2;2
Immeuble SABLUX;Matériel informatique;Matériel informatique;2;;Rejets de consommables informatiques;N;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Application de la procédure de gestion des déchets (déchets consommables informatiques retournés au CMD avant nouvelle livraison);Préventif;Manuelle;;;;;;;1;1;1;3
Immeuble SABLUX;Mobilier ;Toutes les activités;1;;Production de DIB;N;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant enlevement par le prestataire de la municipalité;Préventif;Manuelle;;;;;;;3;1;3;2
Immeuble SABLUX;Mobilier ;Mobilier ;2;;Matériel et mobiliers réformés laissé sur site;A;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Application de la procédure de gestion des déchets, transfert des déchets vers l'aire de stockage avant env oi vers Médina pour vente aux agents ou aux clients ciblés et ou transfert au magasin de Rufisque;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage ;moustapha.sylla@orange-sonatel.com;;30/04/2018;;non échu;3;1;3;1
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Bruit du groupe électrogène;N;Nuisance sonore;Voisinage;;GE capoté et entretenu;Préventif;Manuelle;;;;;;;2;1;4;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Déversement, fuite  de gasoil;A;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Livraison du carburant pour l'alimentation des GE par la DALSupervision par le vigile;Préventif;Manuelle;demander au prestataire un nettoyage du carburant diversé au niveau du GE (avec ciel vert);moustapha.sylla@orange-sonatel.com;;31/03/2018;;non échu;3;2;4;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Cartouche, huile morte laissés sur site;A;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Procédure des gestion des déchets, récupération des cartouches par le fournisseur, entretien conduit par le vigile, maintenance du GE par un prestataire;Préventif;Manuelle;;;;;;;1;2;4;2
Immeuble SABLUX;Toutes les activités;Toutes les activités;1;;Forte consommation de papier;N;Pollution des sols, sous sols et du bâtiment;sols, sous sols et bâtiment;;Communication et sensiblisation du personnel sur les gestes vertsSensibilisation des agents à partager les documents par mail au lieu de les imprimer;Préventif;Manuelle;;;;;;;4;1;4;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Dégagement de NOX SO2 particules fines;N;Santé des hommes;Santé des hommes;;GE  entretenu et réparé en cas de disfonctionnement ;Préventif;Manuelle;;;;;;;2;3;6;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Dégagement de CO2 du groupe électrogène;N;Pollution de l'air;Pollution de l'air;;GE  entretenu et réparé en cas de disfonctionnement ;Préventif;Manuelle;;;;;;;3;1;3;2
Immeuble SABLUX;groupe éléctrogène;Groupe électrogène;2;;Dégagement de fumée du groupe électrogène;A;Santé des hommes;Santé des hommes;;travaux de rallongement de la cheminée du GE effectués;Préventif;Manuelle;;;;;;;3;2;6;2
Immeuble SABLUX;technique/gestiion de la QoS;véhicules;2;;Dégagement de CO2 des véhicules;N;Pollution de l'air;Pollution de l'air;;"Dérogation budgétaire pour un renouvellement des véhicules tous les 3 ans
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ";Préventif;Manuelle;;;;;;;4;1;4;2
Immeuble SABLUX;technique/gestiion de la QoS;véhicules;2;;Forte consommation de curburant;N;Surconsommation d'énergie;ressources naturelles;;"Dérogation budgétaire pour un renouvellement des véhicules tous les 3 ans
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ";Préventif;Manuelle;;;;;;;3;1;3;2
Immeuble SABLUX;technique/gestiion de la QoS;véhicules;2;;Dégagement de NOX SO2 particules fines des véhicules;N;Pollution de l'air;Santé des hommes;;"Dérogation budgétaire pour un renouvellement des véhicules tous les 3 ans
Maintenance préventive et curative des véhicules du parc  par des prestataires de services

Propositions de réforme formulées à la DAL pour les véhicules  préssentant des dysfonctionnements ne pouvant pas per";Préventif;Manuelle;;;;;;;3;4;12;2
Immeuble SABLUX;Toutes les activités;Toutes les activités;1;;Forte consommation d'eau;A;Surconsommation d'eau;ressources naturelles;;"Communication et sensiblisation du personnel sur les gestes verts.
Changement des robinets par des modeles plus fiables.";Préventif;Manuelle;;;;;;;2;1;2;2
