Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Agence Almadies;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Arcades;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Bignona;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Cheikh anta;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Fatick;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Kaffrine;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Kaolack;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Kédougou;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Kolda;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
Agence Louga;Intervention;GE;2;;Eventrement ou rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour rappeler les consignes de dépotage afin de maîtriser les ruptures accidentelles de flexibles durant les dépotages 

Rappel des consignes de réception de carburant au niveau des sites (vérifications à faire pour prévenir et pour la prise en charge en cas de déversement)

Les camions sont compartimentés avec des sorties différentes pour la limitation du volume en cas de déversement

Installation de bacs à sable au niveau des sites pour la prise en charge en cas de déversement

Intégration dans le Plan Schéma Directeur Bâtiment des nouveaux sites, de critères de choix et d’aménagement tenant compte de l'accessibilité des GE et cuves gasoil pour le dépotage

Réalisation des bench auprès des pétroliers & de OMEA sur les mesures en cas d'éventrement ou de rupture de flexible lors du dépotage du carburant  (utilisation de sable) ";Préventif;Manuelle;Étudier l’opportunité  et la faisabilité de réaménager la zone de dépotage pour éventuellement intégrer une aire de rétention en cas de déversement ;CheikhTidiane_DIOP@orange-sonatel.com;;31/07/2018;;En cours;1;3;3;2
