Site;Domaine;Activité/Equipement;Type;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Technopole;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;3
Bakel;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;3
Cambérène;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Centre de Stockage de Rufisque (CSR);Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Dakar RP;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Datacenter;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Diourbel;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Fatick;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Gandoul;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
Grand-Dakar;Salle batterie;Salles batteries;2;;Etincelles issues des prises électriques et interrupteurs ;A;Risque d'explosion;Environnement immédiat;Brûlures;"Equipement de certaines salles batteries en détecteur d'hydrogène

Installation d'extracteurs d'air qui permettent d'évacuer la teneur d'hydrogène dans la salle batterie

Maintenance préventive des salles batteries avec la vérification du bon fonctionnement des extracteurs d'air

Réalisation de mesure du taux de concentration d'hydrogène dans la salle batterie avec un résultat en dessous de la limite inférieure d'explosivité";Préventif;Manuelle;Procéder à la mise aux normes de toutes les salles batterie;Mademba.lo@orange-sonatel.com;;31-07-2018;;Non échu;1;4;4;2
