SITE;Domaine activité;Activité/ Equipement;Type ;Propriétaire;Danger;Mode de fonctionnement;Menace;Lieu;Manifestation;description du contrôle;Type du contrôle;Méthode du contrôle;Description du plan d'action ;Porteur plan d'action ;date de début du plan d'action ;date de fin du plan d'action ;Avancement du plan d'action;statut du plan d'action ;Type de contrôle;Méthode de contrôle;Probabilité;Gravité;Criticité;Maturité
"Camayenne
NODAL";Sécurité;Toutes les activités;1;Alhassane BALDE;Absence de simulation d'évacuation du site en cas d'incendie;A;Risque d'accident (Incendie);Poste de travail;Asphixie, troubles respiratoires brûlure ;"Affichage du plan d'evacuation  sur sites
mise en place  d'un planning  de réalisation des tes d'evauation ";Préventif;Manuel;"
Réaliser des simulations d'évacuations conformement au planning préetabli ";Mohamed Sylla ;31-août;31/07/2019;;non soldé ;Prévention;manuel ;3;4;;2
"Camayenne
NODAL";Sécurité;Toutes les activités;1;Alhassane BALDE;Issue de sécour  non adapatée.;A;Risque d'accident;Environnement immédiat;Asphixie, troubles respiratoires;;Préventif;Manuel;Voir possibilité de changer les marches de l'issue de sécour.;"M. Sylla 
A. Oumar Diallo ";01-sept;31/07/2019;;non soldé ;Prévention;manuel ;3;4;;1
"Camayenne
NODAL";Bâtiment;Bâtiment;1;Alhassane BALDE;Encombrement de matériaux ( pylône dementeler et laisser sur site ;A;Risque de chute de plain pied;Environnement immédiat;Polytraumatisme (fracture, entorse, plaie ouverte…);;Préventif;Manuel; Acheminer  les matériaux dementelés vers les lieux de stockage dediés.;"A Oumar Diallo 
Alhassane Baldé";31-août;31/07/2019;;non soldé ;Prévention;manuel ;3;3;;1
"Camayenne
NODAL";Réseau électrique;Electricité;1;Alhassane BALDE;Manque d'aération au niveau du local du poste à haute tension.;A;Risque d'incendie;Environnement immédiat;Brûlures,  intoxication ;;Préventif;Manuel;Voir possibilité d'aérer le local technique ;I S Bouliwel;31-août;31/07/2019;;non soldé ;Prévention;manuel ;2;4;;1
"Camayenne
NODAL";Groupe Eléctrogene;Groupe Eléctrogene;2;Alhassane BALDE;Fuite de gazoil (dépotage);A;Risque chimique;Environnement immédiat;Troubles respiratoires, brûlures;"Mise en place d'un mode operatoire de depotage  
Utilisation des EPI lors du depotage de carburant 
Existence d'un bac de rétention ";;;Systematiser le nettoyage du site après chaque intervention ;Huawei ;31-août;31/07/2019;;non soldé ;Prévention;;3;3;;3
"Camayenne
NODAL";Reseau Electrique ;Poste Haute Tension;2;Alhassane BALDE;Poste électrique haute tension  à côté réservoir d'eau ( fontaine) du RIA;A;Risque d'incendie/  electrocution;Environnement immédiat;Brûlures,  intoxication ;;Préventif;Manuel;Voir faisabilité de rétirer le poste haute tension et de le placer en hauteur.;Yomba /DTR ;06-sept;31/07/2019;;non soldé ;Prévention;manuel ;3;4;;1
"Camayenne
NODAL";Câblage ;Reseau de câble;2;Alhassane BALDE;Câblage anarchique sous le faux plancher technique;A;Risque d'incendie (court circuit);Environnement immédiat;Brulûre, intoxication;;Préventif;Manuel;Ranger les câbles sous le plancher.;DTR ;08-sept;31/07/2019;;non soldé ;Prévention;manuel ;3;3;;1
"Camayenne
NODAL";Salle Technique ;Salle Technique ;2;;faux plancher  défectueux au niveau de la salle data center ;A;Risque de chute de plain pied;Poste de travail;Traumatisme (fracture, entorse, plaie ouverte…); fermeture des faux planché au niveau de la salle ( data center);;Manuel;;;08-sept;;;;Prévention;;3;3;;3
"Camayenne
NODAL";Intervention;Intervention;1;Alhassane BALDE;Travail en hauteur;N;Risque de chute de hauteur;Poste de travail;Polytraumatisme (fracture, entorse, plaie ouverte…);"Equipement de protection, formation en hauteur et sensibilisation des agents.
Consigne de ne pas monter lorsqu'on est en monôme. ";Protection;Manuel;Demander aux prestataires de fournir les habilitations de leur agents qui interviennent en hauteur.;DAL/DTR;01-juil;31/07/2019;;non soldé ;Prévention;manuel ;3;3;;2
"Camayenne
NODAL";Réseau électrique;Pylône;2;;Local du poste à haute tension non sécurisé.;A;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;"Local formé à clé 
sensibiliser les vigiles à veuiller au respect de l'application de la consigne ";Prévention;Manuel;;;31-août;;;;;;2;4;;3
"Camayenne
NODAL";Groupe Eléctrogene;Groupe Eléctrogene;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;"
Supervision des dépotages par un agent de Orange 
mise en place d'un bac de retention 
 Nettoyage des fuites d'huile morte) de Sanfonia";Prévention;Manuel;;I S Bouliwel;12-sept;;;;Prévention;manuel ;2;4;;3
"Camayenne
NODAL";Groupe Eléctrogene;Groupe Eléctrogene;2;;Stockage de carburant;N;Risque d'incendie;Environnement immédiat;Brûlures;"
Existence d'extincteurs à poudre suspendus en haut des cuves.
Existences de bacs à sable tout prêt des cuves
Mise en place d'un bac de retention ";Protection;Manuel;;;15-sept;;;;;;2;4;;3
"Camayenne
NODAL";Intervention;Intervention;1;Alhassane BALDE;Travaux sur appui commun (voisinage réseau électrique);N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;"
Le circuit est consigné  avant le démarage des travaux. 
 ";Protection;Manuel;Demander aux prestataires de fournir la liste des habilitations. ;I S Bouliwel;16-sept;31/07/2019;;non soldé ;Prévention;manuel ;2;4;;2
"Camayenne
NODAL";Toilettes ;Toilettes ;1;Alhassane BALDE;Toilettes vigiles non adaptés. (remplissage de la petite fosseptique ;A;Risque biologique;Environnement immédiat;"Inconfort
Infections ";Elle est vidée après chaque 3 mois par des sociétés spécialistes. ;Préventif;Manuel;Voir faisabilité de rélier la ptite fosse septique à la grande.;A Oumar Diallo ;30-sept;31/07/2019;;non soldé ;Prévention;manuel ;3;2;;2
"Camayenne
NODAL";Santé  de trvailleurs ;Bâtiment;1;Alhassane BALDE;présence de rats et souris dans le batiment;A;Risque biologique;Environnement immédiat;Maladie des griffes de chat (toxoplasmose) , allergies;Il existe un planing de dératisation ;Prévention;Manuel;veuiller au respect du planning de dératisation ;Alpha O Diallo/DTR  ;30-sept;31/07/2019;;non soldé ;Prévention;manuel ;2;3;;2
"Camayenne
NODAL";Groupe Eléctrogene;Cuves Carburant;2;Alhassane BALDE;Emanation de gaz;A;Risque de troubles respiratoires;Environnement immédiat;Anoxie, asphixie, maux de tête, allergies;"les cuves fermées  sont isolées des bureaux
Masques mis à la disposition des agents d'intervention";Protection;Manuel;Exiger le port des masques lors des interventions.;I S Bouliwel;21-sept;31/07/2019;;non soldé ;Prévention;manuel ;2;3;;3
"Camayenne
NODAL";Intervention;Câbles;2;Alhassane BALDE;Espace vide au niveau du passage des câbles ;A;Risque de chute de plain pied;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte…);;;;Faire un survey pour reprendre le cablage  ;Moussa Diakité;22-sept;31/07/2019;;non soldé ;Prévention;manuel ;2;3;;1
"Camayenne
NODAL";Imprimante/photocopieuse;Imprimante/photocopieuse;2;;Substances et odeurs dégagées par les imprimantes et photocopieuses;N;Risque chimique;Poste de travail;Troubles respiratoires;installation des imprimantes à des distances réglementaires dans des endroits aérés;Protection;Manuel;;;;;;;;;2;3;;3
"Camayenne
NODAL";Toutes les activités;"activités 
(supervision)";1;;Surcharge de travail ;N;Risque de stress;Poste de travail;Maux de tête, hypertension artérielle, troubles psychologique, cardiopathie;"Fixation des objectifs SMART annuels validés par les agents dans SAPER.
Planning de rotation pour assurer la contunuité de l'activité 
";Prévention;Manuel;;;;;;;;;2;3;;3
"Camayenne
NODAL";Toutes les activités;Toutes les activités;1;;Surpeuplement des locaux  ;A;Risque biologique;Poste de travail;Grippe, tuberculose, conjonctivite virale (appollo);Respect des standards en matière d'utilisation d'espace de travail;Prévention;Manuel;;;;;;;;;2;3;;3
"Camayenne
NODAL";Nettoyage;Assurer l'entretien des locaux;1;Alhassane BALDE;Utilisation de produits d'entretiens  (acide, eau de javel, pâte à cafard, désodorisant);N;Risque chimique;Poste de travail;Allergies, intoxicaton, brûlure;"Les agents de la Société de nettoyage portent des gants
évaluation des techniciens de surface 
Sensibilisation sur le port des EPI";Prévention;Manuel; Réaliser des tests  sur les  Fiches de Données de Sécurité ( FDS) des produits  utilisés  aux prestataires. ;Aboubacar Camara ;30-sept;31/07/2019;;non soldé ;Prévention;manuel ;3;2;;2
"Camayenne
NODAL";Nettoyage;Assurer l'entretien et le nettoiement des locaux;1;;non port d'EPI par le technicien de surface ;N;Risque biologique;Poste de travail;allergiie, infection ;"Les agents de la Société de nettoyage portent des gants
évaluation des techniciens de surface 
Sensibilisation sur le port des EPI";Prévention;Manuel;;;;;;;;;3;2;;3
"Camayenne
NODAL";Intervention;Salles techniques;1;Alhassane BALDE;Utilisation des gaz inertes dans les salles techniques;A;Risque chimique;Poste de travail;Troubles respiratoires;;;;"Soumettre au Fournisseur de la centrale d'extinction le remplacement du gaz FM200 par du gaz "" hergogène "" ";I S Bouliwel;30-sept;31/07/2019;;non soldé ;Prévention;manuel ;2;3;;2
"Camayenne
NODAL";Toutes les activités;Commercial;1;Alhassane BALDE;encombrement du sol par des fils dans la salle de la SUPERVISION.;A;Risque de chute de plain pied;Environnement immédiat;;;;;Ranger tous les câbles dans les goulottes et retirer ceux n'ont utilisé dans la salle.;aguibou diallo ;15-oct;31/07/2019;;non soldé ;Prévention;manuel ;2;2;;2
"Camayenne
NODAL";Bâtiment;Bâtiment;1;Alhassane BALDE;RIA non encore opérationnel.;A;Risque d'incendie;Environnement immédiat;Brûlures;"RIA installé 
";Préventif;Manuel;réaliser des test sur de fonctionnement du RIA ;Yomba Camara;;31/07/2019;;non soldé ;Prévention;manuel ;1;4;;2
"Camayenne
NODAL";Intervention;Intervention/supervision ;1;;Déplacement du personnel en pleine nuit ;N;Risque d'agression physique;Poste de travail;Traumatisme;"Escorte pour les agents en astreinte 
presence de vigil au nieau  des sites pour assurer la securité.";Prévention;Manuel;;;;;;;;;1;4;;3
"Camayenne
NODAL";Parking ;Parking ;1;;Parking situé en déhors de la cour.;A;Risque d'agression physique;Poste de travail;Traumatisme;"Caméra installée au niveau de la cour 
Abris vigil installé derièrre la cour.";Prévention;Manuel;;;;;;;;;1;4;;3
